"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Hidalgoa ternata La Llave","15","22.913333","3.413391","0.881334","1.062109","Hidalgoa ternata La Llave","15","2554.4","867.947892","224.103182","37866.679573","Hidalgoa ternata La Llave","15","1643.466667","136.459239","35.233624","2084.995894","Hidalgoa ternata La Llave","15","16164.733333","6100.283406","1575.086403","1892540.976603"
"2","Hidalgoa uspanapa B.L.Turner","1","25.9",NA,NA,"15.931629","Hidalgoa uspanapa B.L.Turner","1","2174",NA,NA,"568000.19359","Hidalgoa uspanapa B.L.Turner","1","1729",NA,NA,"31274.938411","Hidalgoa uspanapa B.L.Turner","1","17845",NA,NA,"28388114.649038"
"3","Tropaeolum adpressum Hughes","7","16.957143","3.93186","1.486103","2.275947","Tropaeolum adpressum Hughes","7","1898.142857","811.111876","306.571473","81142.884799","Tropaeolum adpressum Hughes","7","1155.857143","116.274716","43.947712","4467.848344","Tropaeolum adpressum Hughes","7","18659.285714","7999.262523","3023.437044","4055444.949863"
"4","Tropaeolum asplundii Sparre","1","18.4",NA,NA,"15.931629","Tropaeolum asplundii Sparre","1","1581",NA,NA,"568000.19359","Tropaeolum asplundii Sparre","1","1267",NA,NA,"31274.938411","Tropaeolum asplundii Sparre","1","11482",NA,NA,"28388114.649038"
"5","Tropaeolum brideanum Sparre","1","19.6",NA,NA,"15.931629","Tropaeolum brideanum Sparre","1","1827",NA,NA,"568000.19359","Tropaeolum brideanum Sparre","1","1251",NA,NA,"31274.938411","Tropaeolum brideanum Sparre","1","13592",NA,NA,"28388114.649038"
"6","Tropaeolum capillare Buchenau","2","17.6","3.394113","2.4","7.965814","Tropaeolum capillare Buchenau","2","913.5","311.834091","220.5","284000.096795","Tropaeolum capillare Buchenau","2","1681","28.284271","20","15637.469206","Tropaeolum capillare Buchenau","2","4681","296.984848","210","14194057.324519"
"7","Tropaeolum cochabambae Buchenau","5","14.58","2.294995","1.026353","3.186326","Tropaeolum cochabambae Buchenau","5","1649","1067.711337","477.495026","113600.038718","Tropaeolum cochabambae Buchenau","5","1464","224.897755","100.577334","6254.987682","Tropaeolum cochabambae Buchenau","5","8813.4","5701.897956","2549.966286","5677622.929808"
"8","Tropaeolum curvirostre Sparre","1","13.7",NA,NA,"15.931629","Tropaeolum curvirostre Sparre","1","898",NA,NA,"568000.19359","Tropaeolum curvirostre Sparre","1","1212",NA,NA,"31274.938411","Tropaeolum curvirostre Sparre","1","11128",NA,NA,"28388114.649038"
"9","Tropaeolum cuspidatum Buchenau","7","14.442857","3.113871","1.176933","2.275947","Tropaeolum cuspidatum Buchenau","7","1298.571429","261.507079","98.840385","81142.884799","Tropaeolum cuspidatum Buchenau","7","1410.428571","136.015755","51.409123","4467.848344","Tropaeolum cuspidatum Buchenau","7","7676.428571","1002.165631","378.783005","4055444.949863"
"10","Tropaeolum deckerianum Moritzi & Karst.","12","15.75","3.262598","0.941831","1.327636","Tropaeolum deckerianum Moritzi & Karst.","12","1727.25","502.076982","144.93714","47333.349466","Tropaeolum deckerianum Moritzi & Karst.","12","1256.833333","136.299025","39.346139","2606.244868","Tropaeolum deckerianum Moritzi & Karst.","12","14463.75","3809.33218","1099.65948","2365676.220753"
"11","Tropaeolum garciae Sparre","1","16.3",NA,NA,"15.931629","Tropaeolum garciae Sparre","1","2552",NA,NA,"568000.19359","Tropaeolum garciae Sparre","1","1321",NA,NA,"31274.938411","Tropaeolum garciae Sparre","1","15610",NA,NA,"28388114.649038"
"12","Tropaeolum hirtifolium Hughes","1","15.5",NA,NA,"15.931629","Tropaeolum hirtifolium Hughes","1","1597",NA,NA,"568000.19359","Tropaeolum hirtifolium Hughes","1","1295",NA,NA,"31274.938411","Tropaeolum hirtifolium Hughes","1","14661",NA,NA,"28388114.649038"
"13","Tropaeolum huigrense Killip","1","18.8",NA,NA,"15.931629","Tropaeolum huigrense Killip","1","769",NA,NA,"568000.19359","Tropaeolum huigrense Killip","1","1152",NA,NA,"31274.938411","Tropaeolum huigrense Killip","1","9538",NA,NA,"28388114.649038"
"14","Tropaeolum kerneisinum Hughes","3","16.566667","5.484828","3.166667","5.310543","Tropaeolum kerneisinum Hughes","3","1542.666667","331.976405","191.666667","189333.397863","Tropaeolum kerneisinum Hughes","3","1092.666667","65.24058","37.666666","10424.97947","Tropaeolum kerneisinum Hughes","3","17007.666667","9738.744341","5622.666667","9462704.883013"
"15","Tropaeolum kuntzeanum Buchenau","4","15.925","6.493266","3.246633","3.982907","Tropaeolum kuntzeanum Buchenau","4","1330.5","350.559077","175.279538","142000.048397","Tropaeolum kuntzeanum Buchenau","4","1555.75","213.780846","106.890423","7818.734603","Tropaeolum kuntzeanum Buchenau","4","6411.75","1944.907946","972.453973","7097028.662259"
"16","Tropaeolum lindenii Wallis","3","13.9","4.74447","2.739221","5.310543","Tropaeolum lindenii Wallis","3","1987","261.570258","151.017659","189333.397863","Tropaeolum lindenii Wallis","3","1216.666667","323.944954","187.029706","10424.97947","Tropaeolum lindenii Wallis","3","17364.666667","1378.201848","795.705208","9462704.883013"
"17","Tropaeolum longifolium Turcz.","2","15.55","2.616295","1.85","7.965814","Tropaeolum longifolium Turcz.","2","2566","1159.655121","820","284000.096795","Tropaeolum longifolium Turcz.","2","1413","131.521861","93","15637.469206","Tropaeolum longifolium Turcz.","2","14129.5","2380.828532","1683.5","14194057.324519"
"18","Tropaeolum magnificum Sparre","5","12.86","4.699787","2.101809","3.186326","Tropaeolum magnificum Sparre","5","1696.8","680.36549","304.268697","113600.038718","Tropaeolum magnificum Sparre","5","1185.8","182.898059","81.794499","6254.987682","Tropaeolum magnificum Sparre","5","10744.6","2259.933804","1010.673122","5677622.929808"
