"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Desmoncus chinantlensis Liebm. ex Mart.","20","5.698041","0.004173","0.000933","1e-06","Desmoncus chinantlensis Liebm. ex Mart.","20","7.539348","0.30411","0.068001","0.005835","Desmoncus chinantlensis Liebm. ex Mart.","20","7.475315","0.060902","0.013618","0.000627","Desmoncus chinantlensis Liebm. ex Mart.","20","9.334893","0.355134","0.07941","0.006579"
"2","Desmoncus cirrhifer A.H.Gentry & Zardini","15","5.693063","0.016089","0.004154","2e-06","Desmoncus cirrhifer A.H.Gentry & Zardini","15","8.319266","0.483698","0.12489","0.00778","Desmoncus cirrhifer A.H.Gentry & Zardini","15","7.183953","0.198169","0.051167","0.000836","Desmoncus cirrhifer A.H.Gentry & Zardini","15","10.176271","0.451347","0.116537","0.008772"
"3","Desmoncus giganteus A.J.Hend.","22","5.696406","0.001465","0.000312","1e-06","Desmoncus giganteus A.J.Hend.","22","7.991859","0.256204","0.054623","0.005304","Desmoncus giganteus A.J.Hend.","22","7.118702","0.072138","0.01538","0.00057","Desmoncus giganteus A.J.Hend.","22","10.056321","0.226979","0.048392","0.005981"
"4","Desmoncus horridus Splitg. ex Mart.","5","5.700075","0.001174","0.000525","5e-06","Desmoncus horridus Splitg. ex Mart.","5","7.662107","0.348311","0.155769","0.023339","Desmoncus horridus Splitg. ex Mart.","5","7.309493","0.126869","0.056738","0.002509","Desmoncus horridus Splitg. ex Mart.","5","9.553536","0.368285","0.164702","0.026316"
"5","Desmoncus interjectus A.J.Hend.","2","5.696086","0.001188","0.00084","1.2e-05","Desmoncus interjectus A.J.Hend.","2","8.215408","0.004016","0.00284","0.058348","Desmoncus interjectus A.J.Hend.","2","7.106585","0.009274","0.006558","0.006272","Desmoncus interjectus A.J.Hend.","2","10.135532","0.046247","0.032702","0.065791"
"6","Desmoncus latisectus Burret","6","5.699328","0.000536","0.000219","4e-06","Desmoncus latisectus Burret","6","7.472241","0.054092","0.022083","0.019449","Desmoncus latisectus Burret","6","7.247472","0.046943","0.019164","0.002091","Desmoncus latisectus Burret","6","9.39998","0.062115","0.025358","0.02193"
"7","Desmoncus leptoclonos Drude","6","5.698262","0.003566","0.001456","4e-06","Desmoncus leptoclonos Drude","6","7.302354","0.064258","0.026233","0.019449","Desmoncus leptoclonos Drude","6","7.368986","0.02677","0.010929","0.002091","Desmoncus leptoclonos Drude","6","9.189526","0.067201","0.027435","0.02193"
"8","Desmoncus longifolius Mart.","2","5.698937","0.001421","0.001005","1.2e-05","Desmoncus longifolius Mart.","2","7.71108","0.336599","0.238011","0.058348","Desmoncus longifolius Mart.","2","7.143055","0.108311","0.076587","0.006272","Desmoncus longifolius Mart.","2","9.839093","0.485036","0.342972","0.065791"
"9","Desmoncus loretanus A.J.Hend.","1","5.697932",NA,NA,"2.4e-05","Desmoncus loretanus A.J.Hend.","1","7.973155",NA,NA,"0.116696","Desmoncus loretanus A.J.Hend.","1","7.013016",NA,NA,"0.012544","Desmoncus loretanus A.J.Hend.","1","10.180778",NA,NA,"0.131582"
"10","Desmoncus madrensis A.J.Hend.","3","5.697037","0.000699","0.000404","8e-06","Desmoncus madrensis A.J.Hend.","3","7.526818","0.336269","0.194145","0.038899","Desmoncus madrensis A.J.Hend.","3","7.216449","0.006837","0.003947","0.004181","Desmoncus madrensis A.J.Hend.","3","9.850369","0.049089","0.028342","0.043861"
