"","Family","Genus","Species","CM","taxized_names"
"1","Acanthaceae","Aphelandra","Aphelandra tomentosa",3,"Aphelandra tomentosa Lindau"
"2","Acanthaceae","Dasytropis","Dasytropis fragilis",3,"Dasytropis fragilis Urb."
"3","Acanthaceae","Dicliptera","Dicliptera purpurascens",3,"Dicliptera purpurascens Wassh. & J.R.I.Wood"
"4","Acanthaceae","Justicia","Justicia adenothyrsa",3,"Justicia adenothyrsa (Lindau) T.F.Daniel T.F.Daniel (Lindau)"
"5","Acanthaceae","Justicia","Justicia anabasa",3,"Justicia anabasa Leonard"
"6","Acanthaceae","Justicia","Justicia brasiliana",3,"Justicia brasiliana Roth"
"7","Acanthaceae","Justicia","Justicia cydoniifolia",3,"Justicia cydoniifolia (Nees) Lindau Lindau (Nees)"
"8","Acanthaceae","Justicia","Justicia fuchsiifolia",3,"Justicia fuchsiifolia Leonard"
"9","Acanthaceae","Justicia","Justicia graciliflora",3,"Justicia graciliflora Wall."
"10","Acanthaceae","Justicia","Justicia kirkbridei",3,"Justicia kirkbridei Wassh."
"11","Acanthaceae","Justicia","Justicia megalantha",3,"Justicia megalantha Wassh. & J.R.I.Wood"
"12","Acanthaceae","Justicia","Justicia monopleurantha",3,"Justicia monopleurantha (Lindau) Wassh. Wassh. (Lindau)"
"13","Acanthaceae","Justicia","Justicia nicaraguensis",3,"Aphelandra tomentosa Lindau"
"14","Acanthaceae","Justicia","Justicia pyrrhostachya",3,"Justicia pyrrhostachya (Lindau) Wassh. Wassh. (Lindau)"
"15","Acanthaceae","Justicia","Justicia sarapiquensis",3,"Justicia sarapiquensis McDade"
"16","Acanthaceae","Justicia","Justicia scansilis",3,"Justicia scansilis (Rizzini) V.A.W.Graham V.A.W.Graham (Rizzini)"
"17","Acanthaceae","Justicia","Justicia schomburgkiana",3,"Justicia schomburgkiana (Nees) V.A.W.Graham V.A.W.Graham (Nees)"
"18","Acanthaceae","Justicia","Justicia spicigera",3,"Justicia spicigera Schltdl."
"19","Acanthaceae","Mendoncia","Mendoncia albiflora",1,"Mendoncia albiflora Leonard"
"20","Acanthaceae","Mendoncia","Mendoncia antioquiensis",1,"Mendoncia antioquiensis Wassh."
"21","Acanthaceae","Mendoncia","Mendoncia aspera",1,"Mendoncia aspera Ruiz & Pav."
"22","Acanthaceae","Mendoncia","Mendoncia aurea",1,"Mendoncia aurea Leonard"
"23","Acanthaceae","Mendoncia","Mendoncia bahiensis",1,"Mendoncia bahiensis Profice"
"24","Acanthaceae","Mendoncia","Mendoncia bivalvis",1,"Mendoncia bivalvis (L.fil.) Merr. Merr. (L.fil.)"
"25","Acanthaceae","Mendoncia","Mendoncia blanchetiana",1,"Mendoncia blanchetiana Profice"
"26","Acanthaceae","Mendoncia","Mendoncia brenesii",1,"Mendoncia brenesii Standl. & Leonard"
"27","Acanthaceae","Mendoncia","Mendoncia caquetensis",1,"Mendoncia caquetensis Leonard"
"28","Acanthaceae","Mendoncia","Mendoncia cardonae",1,"Mendoncia cardonae Leonard"
"29","Acanthaceae","Mendoncia","Mendoncia coccinea",1,"Mendoncia coccinea Vell."
"30","Acanthaceae","Mendoncia","Mendoncia cordata",1,"Mendoncia cordata Leonard"
"31","Acanthaceae","Mendoncia","Mendoncia coriacea",1,"Mendoncia coriacea Wassh."
"32","Acanthaceae","Mendoncia","Mendoncia costaricana",1,"Mendoncia costaricana Oerst."
"33","Acanthaceae","Mendoncia","Mendoncia crenata",1,"Mendoncia crenata Lindau"
"34","Acanthaceae","Mendoncia","Mendoncia cuatrecasasii",1,"Mendoncia cuatrecasasii Leonard"
"35","Acanthaceae","Mendoncia","Mendoncia garciae",1,"Mendoncia garciae Leonard"
"36","Acanthaceae","Mendoncia","Mendoncia gigas",1,"Mendoncia gigas Lindau"
"37","Acanthaceae","Mendoncia","Mendoncia gilva",1,"Mendoncia gilva Leonard"
"38","Acanthaceae","Mendoncia","Mendoncia glabra",1,"Mendoncia glabra Poepp. & Endl."
"39","Acanthaceae","Mendoncia","Mendoncia glabrescens",1,"Mendoncia glabrescens Leonard"
"40","Acanthaceae","Mendoncia","Mendoncia glomerata",1,"Mendoncia glomerata Leonard"
"41","Acanthaceae","Mendoncia","Mendoncia gracilis",1,"Mendoncia gracilis Turrill"
"42","Acanthaceae","Mendoncia","Mendoncia guatemalensis",1,"Mendoncia guatemalensis Standl. & Steyerm."
"43","Acanthaceae","Mendoncia","Mendoncia hoffmannseggiana",1,"Mendoncia hoffmannseggiana Nees"
"44","Acanthaceae","Mendoncia","Mendoncia killipii",1,"Mendoncia killipii Leonard"
"45","Acanthaceae","Mendoncia","Mendoncia klugii",1,"Mendoncia klugii Leonard"
"46","Acanthaceae","Mendoncia","Mendoncia lasiophyta",1,"Mendoncia lasiophyta Leonard"
"47","Acanthaceae","Mendoncia","Mendoncia leucantha",1,"Mendoncia leucantha Leonard"
