taxa,diversity,node,age_mean,clade,CM
Malpighiaceae,1250,SG,73.9,NA,NA
Bignoniaceae,790,SG,47,NA,NA
Fabaceae,19580,SG,92.1,NA,NA
Cucurbitaceae,1000,SG,57.1,NA,NA
Apocynaceae,4555,SG,52.1,NA,NA
Adelphia,4,SG,5.422,Malpighiaceae,1
Adenocalymma,93,SG,13.447,Bignoniaceae,2
Aenigmatanthera,2,SG,4.868,Malpighiaceae,1
Alicia,2,SG,4.317,Malpighiaceae,1
Allomarkgrafia,10,SG,8.027,Apocynaceae,1
Amphilophium,49,SG,11.792,Bignoniaceae,2
Ancistrotropis,6,SG,6.592,Fabaceae,1
Anemopaegma,47,SG,8.069,Bignoniaceae,2
Angadenia,2,SG,2.588,Apocynaceae,1
Apodanthera,25,SG,8.319,Cucurbitaceae,2
Araujia,13,SG,2.772,Apocynaceae,1
Bignonia,31,SG,10.662,Bignoniaceae,2
Blepharodon,26,SG,5.148,Apocynaceae,1
Bronwenia,10,SG,8.619,Malpighiaceae,1
Calopogonium,8,SG,8.663,Fabaceae,1
Calycophysum,4,SG,8.67,Cucurbitaceae,2
Campsis,2,SG,27.024,Bignoniaceae,2
Carolus,6,SG,6.927,Malpighiaceae,1
Cayaponia,75,SG,7.961,Cucurbitaceae,2
Centrosema,44,SG,8.008,Fabaceae,1
Christianella,5,SG,7.294,Malpighiaceae,1
Cionosicys,4,SG,5.123,Cucurbitaceae,2
Cleobulia,4,SG,5.479,Fabaceae,1
Cochliasanthus,1,SG,7.635,Fabaceae,1
Condylocarpon,7,SG,12.087,Apocynaceae,1
Condylostylis,4,SG,6.592,Fabaceae,1
Cryptostegia,2,SG,0.485,Apocynaceae,1
Cucurbitella,1,SG,9.615,Cucurbitaceae,2
Cuspidaria,21,SG,8.965,Bignoniaceae,2
Cymbosema,1,SG,6.087,Fabaceae,1
Dicella,7,SG,9.18,Malpighiaceae,1
Dioclea,14,SG,12.375,Fabaceae,1
Diplopterys,31,SG,12.564,Malpighiaceae,1
Ditassa,114,SG,0.731,Apocynaceae,1
Dolichandra,9,SG,15.468,Bignoniaceae,2
Dolichopsis,3,SG,7.54,Fabaceae,1
Doyerea,1,SG,7.723,Cucurbitaceae,2
Eccremocarpus,3,SG,23.615,Bignoniaceae,2
Echites,14,SG,8.989,Apocynaceae,1
Ectopopterys,1,SG,13.698,Malpighiaceae,1
Excentradenia,4,SG,6.449,Malpighiaceae,1
Fevillea,8,SG,22.944,Cucurbitaceae,2
Forsteronia,46,SG,8.62,Apocynaceae,1
Fridericia,61,SG,9.905,Bignoniaceae,2
Gurania,48,SG,3.825,Cucurbitaceae,2
Hanburia,7,SG,9.784,Cucurbitaceae,2
Heladena,1,SG,8.79,Malpighiaceae,1
Helmontia,3,SG,3.57,Cucurbitaceae,2
Henleophytum,1,SG,8.79,Malpighiaceae,1
Heteropterys,160,SG,4.317,Malpighiaceae,1
Janusia,19,SG,5.004,Malpighiaceae,1
Jobinia,25,SG,3.411,Apocynaceae,1
Jubelina,6,SG,5.013,Malpighiaceae,1
Lablab,1,SG,14.062,Fabaceae,1
Laubertia,4,SG,9.077,Apocynaceae,1
Linnaeosicyos,1,SG,17.869,Cucurbitaceae,2
Lundia,14,SG,10.26,Bignoniaceae,2
Malpighiodes,4,SG,2.98,Malpighiaceae,1
Manaosella,1,SG,13.325,Bignoniaceae,2
Martinella,3,SG,11.868,Bignoniaceae,2
Melothria,12,SG,23.144,Cucurbitaceae,2
Mesechites,8,SG,8.027,Apocynaceae,1
Monsanima,2,SG,4.277,Apocynaceae,1
Neorudolphia,1,SG,4.637,Fabaceae,1
Niedenzuella,16,SG,4.868,Malpighiaceae,1
Odontadenia,21,SG,2.254,Apocynaceae,1
Orthosia,38,SG,3.411,Apocynaceae,1
Pachyrhizus,5,SG,8.663,Fabaceae,1
Penelopeia,2,SG,7.324,Cucurbitaceae,2
Pentalinon,2,SG,2.588,Apocynaceae,1
Peplonia,9,SG,0.763,Apocynaceae,1
Perianthomega,1,SG,17.678,Bignoniaceae,6
Pinochia,4,SG,5.421,Apocynaceae,1
Pleonotoma,16,SG,11.868,Bignoniaceae,2
Polyclathra,1,SG,10.923,Cucurbitaceae,2
Prestonia,65,SG,9.077,Apocynaceae,1
Psiguria,6,SG,3.57,Cucurbitaceae,2
Psychopterys,8,SG,6.431,Malpighiaceae,1
Pteropepon,5,SG,20.764,Cucurbitaceae,2
Rhabdadenia,3,SG,15.435,Apocynaceae,1
Rhodopis,1,SG,4.637,Fabaceae,1
Schnella,47,SG,6.609,Fabaceae,2
Schubertia,6,SG,3.321,Apocynaceae,1
Scyphostelma,28,SG,3.869,Apocynaceae,1
Secondatia,5,SG,2.254,Apocynaceae,1
Sicana,4,SG,8.654,Cucurbitaceae,2
Sicydium,9,SG,19.826,Cucurbitaceae,2
Sicyocaulis,1,SG,0.054,Cucurbitaceae,2
Sigmoidotropis,7,SG,7.621,Fabaceae,1
Siolmatra,2,SG,6.452,Cucurbitaceae,2
Stigmaphyllon,119,SG,4.165,Malpighiaceae,1
Stipecoma,1,SG,7.852,Apocynaceae,1
Tanaecium,22,SG,10.26,Bignoniaceae,2
Tassadia,31,SG,8.102,Apocynaceae,1
Thryallis,5,SG,11.997,Malpighiaceae,1
Tourrettia,1,SG,23.615,Bignoniaceae,2
Tynanthus,15,SG,8.965,Bignoniaceae,2
Wilbrandia,5,SG,6.622,Cucurbitaceae,2
