clade,order,family
ANA,Amborellales,Amborellaceae
ANA,Nymphaeales,Hydatellaceae
ANA,Nymphaeales,Cabombaceae
ANA,Nymphaeales,Nymphaeaceae
ANA,Austrobaileyales,Austrobaileyaceae
ANA,Austrobaileyales,Trimeniaceae
ANA,Austrobaileyales,Schisandraceae
Magnoliids,Canellales,Canellaceae
Magnoliids,Canellales,Winteraceae
Magnoliids,Piperales,Saururaceae
Magnoliids,Piperales,Piperaceae
Magnoliids,Piperales,Aristolochiaceae
Magnoliids,Magnoliales,Myristicaceae
Magnoliids,Magnoliales,Magnoliaceae
Magnoliids,Magnoliales,Degeneriaceae
Magnoliids,Magnoliales,Himantandraceae
Magnoliids,Magnoliales,Eupomatiaceae
Magnoliids,Magnoliales,Annonaceae
Magnoliids,Laurales,Calycanthaceae
Magnoliids,Laurales,Siparunaceae
Magnoliids,Laurales,Gomortegaceae
Magnoliids,Laurales,Atherospermataceae
Magnoliids,Laurales,Hernandiaceae
Magnoliids,Laurales,Monimiaceae
Magnoliids,Laurales,Lauraceae
Magnoliids,Chloranthales,Chloranthaceae
Monocots,Acorales,Acoraceae
Monocots,Alismatales,Araceae
Monocots,Alismatales,Tofieldiaceae
Monocots,Alismatales,Alismataceae
Monocots,Alismatales,Butomaceae
Monocots,Alismatales,Hydrocharitaceae
Monocots,Alismatales,Scheuchzeriaceae
Monocots,Alismatales,Aponogetonaceae
Monocots,Alismatales,Juncaginaceae
Monocots,Alismatales,Maundiaceae
Monocots,Alismatales,Zosteraceae
Monocots,Alismatales,Potamogetonaceae
Monocots,Alismatales,Posidoniaceae
Monocots,Alismatales,Ruppiaceae
Monocots,Alismatales,Cymodoceaceae
Monocots,Petrosaviales,Petrosaviaceae
Monocots,Dioscoreales,Nartheciaceae
Monocots,Dioscoreales,Burmanniaceae
Monocots,Dioscoreales,Dioscoreaceae
Monocots,Pandanales,Triuridaceae
Monocots,Pandanales,Velloziaceae
Monocots,Pandanales,Stemonaceae
Monocots,Pandanales,Cyclanthaceae
Monocots,Pandanales,Pandanaceae
Monocots,Liliales,Campynemataceae
Monocots,Liliales,Corsiaceae
Monocots,Liliales,Melanthiaceae
Monocots,Liliales,Petermanniaceae
Monocots,Liliales,Alstroemeriaceae
Monocots,Liliales,Colchicaceae
Monocots,Liliales,Philesiaceae
Monocots,Liliales,Ripogonaceae
Monocots,Liliales,Smilacaceae
Monocots,Liliales,Liliaceae
Monocots,Asparagales,Orchidaceae
Monocots,Asparagales,Boryaceae
Monocots,Asparagales,Blandfordiaceae
Monocots,Asparagales,Asteliaceae
Monocots,Asparagales,Lanariaceae
Monocots,Asparagales,Hypoxidaceae
Monocots,Asparagales,Doryanthaceae
Monocots,Asparagales,Ixioliriaceae
Monocots,Asparagales,Tecophilaeaceae
Monocots,Asparagales,Iridaceae
Monocots,Asparagales,Xeronemataceae
Monocots,Asparagales,Asphodelaceae
Monocots,Asparagales,Amaryllidaceae
Monocots,Asparagales,Asparagaceae
Monocots,Arecales,Dasypogonaceae
Monocots,Arecales,Arecaceae
Monocots,Commelinales,Hanguanaceae
Monocots,Commelinales,Commelinaceae
Monocots,Commelinales,Philydraceae
Monocots,Commelinales,Pontederiaceae
Monocots,Commelinales,Haemodoraceae
Monocots,Zingiberales,Strelitziaceae
Monocots,Zingiberales,Lowiaceae
Monocots,Zingiberales,Heliconiaceae
Monocots,Zingiberales,Musaceae
Monocots,Zingiberales,Cannaceae
Monocots,Zingiberales,Marantaceae
Monocots,Zingiberales,Costaceae
Monocots,Zingiberales,Zingiberaceae
Monocots,Poales,Typhaceae
Monocots,Poales,Bromeliaceae
Monocots,Poales,Rapateaceae
Monocots,Poales,Xyridaceae
Monocots,Poales,Eriocaulaceae
Monocots,Poales,Mayacaceae
Monocots,Poales,Thurniaceae
Monocots,Poales,Juncaceae
Monocots,Poales,Cyperaceae
Monocots,Poales,Restionaceae
Monocots,Poales,Flagellariaceae
Monocots,Poales,Joinvilleaceae
Monocots,Poales,Ecdeiocoleaceae
Monocots,Poales,Poaceae
Monocots,Ceratophyllales,Ceratophyllaceae
Eudicots,Ranunculales,Eupteleaceae
Eudicots,Ranunculales,Papaveraceae
Eudicots,Ranunculales,Circaeasteraceae
Eudicots,Ranunculales,Lardizabalaceae
Eudicots,Ranunculales,Menispermaceae
Eudicots,Ranunculales,Berberidaceae
Eudicots,Ranunculales,Ranunculaceae
Eudicots,Proteales,Sabiaceae
Eudicots,Proteales,Nelumbonaceae
Eudicots,Proteales,Platanaceae
Eudicots,Proteales,Proteaceae
