Family,Genus,Species,CM
Acanthaceae,Aphelandra,Aphelandra tomentosa,3
Acanthaceae,Dasytropis,Dasytropis fragilis,3
Acanthaceae,Dicliptera,Dicliptera purpurascens,3
Acanthaceae,Justicia,Justicia adenothyrsa,3
Acanthaceae,Justicia,Justicia anabasa,3
Acanthaceae,Justicia,Justicia brasiliana,3
Acanthaceae,Justicia,Justicia cydoniifolia,3
Acanthaceae,Justicia,Justicia fuchsiifolia,3
Acanthaceae,Justicia,Justicia graciliflora,3
Acanthaceae,Justicia,Justicia kirkbridei,3
Acanthaceae,Justicia,Justicia megalantha,3
Acanthaceae,Justicia,Justicia monopleurantha,3
Acanthaceae,Justicia,Justicia nicaraguensis,3
Acanthaceae,Justicia,Justicia pyrrhostachya,3
Acanthaceae,Justicia,Justicia sarapiquensis,3
Acanthaceae,Justicia,Justicia scansilis,3
Acanthaceae,Justicia,Justicia schomburgkiana,3
Acanthaceae,Justicia,Justicia spicigera,3
Acanthaceae,Mendoncia,Mendoncia albiflora,1
Acanthaceae,Mendoncia,Mendoncia antioquiensis,1
Acanthaceae,Mendoncia,Mendoncia aspera,1
Acanthaceae,Mendoncia,Mendoncia aurea,1
Acanthaceae,Mendoncia,Mendoncia bahiensis,1
Acanthaceae,Mendoncia,Mendoncia bivalvis,1
Acanthaceae,Mendoncia,Mendoncia blanchetiana,1
Acanthaceae,Mendoncia,Mendoncia brenesii,1
Acanthaceae,Mendoncia,Mendoncia caquetensis,1
Acanthaceae,Mendoncia,Mendoncia cardonae,1
Acanthaceae,Mendoncia,Mendoncia coccinea,1
Acanthaceae,Mendoncia,Mendoncia cordata,1
Acanthaceae,Mendoncia,Mendoncia coriacea,1
Acanthaceae,Mendoncia,Mendoncia costaricana,1
Acanthaceae,Mendoncia,Mendoncia crenata,1
Acanthaceae,Mendoncia,Mendoncia cuatrecasasii,1
Acanthaceae,Mendoncia,Mendoncia garciae,1
Acanthaceae,Mendoncia,Mendoncia gigas,1
Acanthaceae,Mendoncia,Mendoncia gilva,1
Acanthaceae,Mendoncia,Mendoncia glabra,1
Acanthaceae,Mendoncia,Mendoncia glabrescens,1
Acanthaceae,Mendoncia,Mendoncia glomerata,1
Acanthaceae,Mendoncia,Mendoncia gracilis,1
Acanthaceae,Mendoncia,Mendoncia guatemalensis,1
Acanthaceae,Mendoncia,Mendoncia hoffmannseggiana,1
Acanthaceae,Mendoncia,Mendoncia killipii,1
Acanthaceae,Mendoncia,Mendoncia klugii,1
Acanthaceae,Mendoncia,Mendoncia lasiophyta,1
Acanthaceae,Mendoncia,Mendoncia leucantha,1
Acanthaceae,Mendoncia,Mendoncia lindavii,1
Acanthaceae,Mendoncia,Mendoncia litoralis,1
Acanthaceae,Mendoncia,Mendoncia meyeniana,1
Acanthaceae,Mendoncia,Mendoncia microchlamys,1
Acanthaceae,Mendoncia,Mendoncia mirabilis,1
Acanthaceae,Mendoncia,Mendoncia mutisii,1
Acanthaceae,Mendoncia,Mendoncia neblinensis,1
Acanthaceae,Mendoncia,Mendoncia obovata,1
Acanthaceae,Mendoncia,Mendoncia odorata,1
Acanthaceae,Mendoncia,Mendoncia orbicularis,1
Acanthaceae,Mendoncia,Mendoncia pedunculata,1
Acanthaceae,Mendoncia,Mendoncia pennellii,1
Acanthaceae,Mendoncia,Mendoncia peruviana,1
Acanthaceae,Mendoncia,Mendoncia phalacra,1
Acanthaceae,Mendoncia,Mendoncia pilosa,1
Acanthaceae,Mendoncia,Mendoncia puberula,1
Acanthaceae,Mendoncia,Mendoncia retusa,1
Acanthaceae,Mendoncia,Mendoncia robusta,1
Acanthaceae,Mendoncia,Mendoncia rosea,1
Acanthaceae,Mendoncia,Mendoncia sericea,1
Acanthaceae,Mendoncia,Mendoncia smithii,1
Acanthaceae,Mendoncia,Mendoncia speciosa,1
Acanthaceae,Mendoncia,Mendoncia spraguei,1
Acanthaceae,Mendoncia,Mendoncia sprucei,1
Acanthaceae,Mendoncia,Mendoncia squamuligera,1
Acanthaceae,Mendoncia,Mendoncia steyermarkii,1
Acanthaceae,Mendoncia,Mendoncia tarapotana,1
Acanthaceae,Mendoncia,Mendoncia tessmannii,1
Acanthaceae,Mendoncia,Mendoncia tetragona,1
Acanthaceae,Mendoncia,Mendoncia tonduzii,1
Acanthaceae,Mendoncia,Mendoncia tovarensis,1
Acanthaceae,Mendoncia,Mendoncia trichota,1
Acanthaceae,Mendoncia,Mendoncia velloziana,1
Acanthaceae,Mendoncia,Mendoncia villosa,1
Acanthaceae,Mendoncia,Mendoncia williamsii,1
Acanthaceae,Mendoncia,Mendoncia zarucchii,1
Acanthaceae,Neriacanthus,Neriacanthus nitidus,3
Acanthaceae,Odontonema,Odontonema ampelocaule,3
Acanthaceae,Oplonia,Oplonia armata,3
Acanthaceae,Oplonia,Oplonia jamaicensis,3
Acanthaceae,Oplonia,Oplonia spinosa,3
Acanthaceae,Oplonia,Oplonia tetrasticha,3
Acanthaceae,Pachystachys,Pachystachys spicata,3
Acanthaceae,Ruellia,Ruellia affinis,3
Acanthaceae,Ruellia,Ruellia beckii,3
Acanthaceae,Ruellia,Ruellia inflata,3
Acanthaceae,Ruellia,Ruellia sprucei,3
Acanthaceae,Ruellia,Ruellia steyermarkii,3
Acanthaceae,Sapphoa,Sapphoa ekmanii,3
Acanthaceae,Sapphoa,Sapphoa rigidifolia,3
Acanthaceae,Thunbergia,Thunbergia alata,1
Acanthaceae,Thyrsacanthus,Thyrsacanthus boliviensis,3
Acanthaceae,Thyrsacanthus,Thyrsacanthus ramosissimus,3
Acanthaceae,Thyrsacanthus,Thyrsacanthus secundus,3
Adoxaceae,Viburnum,Viburnum undulatum,3
Aizoaceae,Sesuvium,Sesuvium portulacastrum,4
Alstroemeriaceae,Bomarea,Bomarea acutifolia,1
Alstroemeriaceae,Bomarea,Bomarea albimontana,1
Alstroemeriaceae,Bomarea,Bomarea allenii,1
Alstroemeriaceae,Bomarea,Bomarea alstroemerioides,1
Alstroemeriaceae,Bomarea,Bomarea amazonica,1
Alstroemeriaceae,Bomarea,Bomarea amilcariana,1
Alstroemeriaceae,Bomarea,Bomarea anceps,1
Alstroemeriaceae,Bomarea,Bomarea andreana,1
Alstroemeriaceae,Bomarea,Bomarea angulata,1
Alstroemeriaceae,Bomarea,Bomarea angustissima,1
Alstroemeriaceae,Bomarea,Bomarea aurantiaca,1
Alstroemeriaceae,Bomarea,Bomarea bracteata,1
Alstroemeriaceae,Bomarea,Bomarea bracteolata,1
Alstroemeriaceae,Bomarea,Bomarea bredemeyeriana,1
Alstroemeriaceae,Bomarea,Bomarea caldasii,1
Alstroemeriaceae,Bomarea,Bomarea callejasiana,1
Alstroemeriaceae,Bomarea,Bomarea campylophylla,1
Alstroemeriaceae,Bomarea,Bomarea carderi,1
Alstroemeriaceae,Bomarea,Bomarea caucana,1
Alstroemeriaceae,Bomarea,Bomarea caudata,1
Alstroemeriaceae,Bomarea,Bomarea caudatisepala,1
Alstroemeriaceae,Bomarea,Bomarea ceratophora,1
Alstroemeriaceae,Bomarea,Bomarea chaparensis,1
Alstroemeriaceae,Bomarea,Bomarea chiriquina,1
Alstroemeriaceae,Bomarea,Bomarea colombiana,1
Alstroemeriaceae,Bomarea,Bomarea cornigera,1
Alstroemeriaceae,Bomarea,Bomarea cornuta,1
Alstroemeriaceae,Bomarea,Bomarea crinita,1
Alstroemeriaceae,Bomarea,Bomarea declinata,1
Alstroemeriaceae,Bomarea,Bomarea densiflora,1
Alstroemeriaceae,Bomarea,Bomarea denticulata,1
Alstroemeriaceae,Bomarea,Bomarea diffracta,1
Alstroemeriaceae,Bomarea,Bomarea dissitifolia,1
Alstroemeriaceae,Bomarea,Bomarea dolichocarpa,1
Alstroemeriaceae,Bomarea,Bomarea dulcis,1
Alstroemeriaceae,Bomarea,Bomarea edulis,1
Alstroemeriaceae,Bomarea,Bomarea elegans,1
Alstroemeriaceae,Bomarea,Bomarea endotrachys,1
Alstroemeriaceae,Bomarea,Bomarea engleriana,1
Alstroemeriaceae,Bomarea,Bomarea euryantha,1
Alstroemeriaceae,Bomarea,Bomarea formosissima,1
Alstroemeriaceae,Bomarea,Bomarea goniocaulon,1
Alstroemeriaceae,Bomarea,Bomarea graminifolia,1
Alstroemeriaceae,Bomarea,Bomarea hazenii,1
Alstroemeriaceae,Bomarea,Bomarea herbertiana,1
Alstroemeriaceae,Bomarea,Bomarea herrerae,1
Alstroemeriaceae,Bomarea,Bomarea hirsuta,1
Alstroemeriaceae,Bomarea,Bomarea isopetala,1
Alstroemeriaceae,Bomarea,Bomarea klugii,1
Alstroemeriaceae,Bomarea,Bomarea lancifolia,1
Alstroemeriaceae,Bomarea,Bomarea longipes,1
Alstroemeriaceae,Bomarea,Bomarea loreti,1
Alstroemeriaceae,Bomarea,Bomarea lutea,1
Alstroemeriaceae,Bomarea,Bomarea macusanii,1
Alstroemeriaceae,Bomarea,Bomarea moritziana,1
Alstroemeriaceae,Bomarea,Bomarea multiflora,1
Alstroemeriaceae,Bomarea,Bomarea multipes,1
Alstroemeriaceae,Bomarea,Bomarea nematocaulon,1
Alstroemeriaceae,Bomarea,Bomarea obovata,1
Alstroemeriaceae,Bomarea,Bomarea ovata,1
Alstroemeriaceae,Bomarea,Bomarea pardina,1
Alstroemeriaceae,Bomarea,Bomarea parvifolia,1
Alstroemeriaceae,Bomarea,Bomarea patacocensis,1
Alstroemeriaceae,Bomarea,Bomarea patinii,1
Alstroemeriaceae,Bomarea,Bomarea petiolata,6
Alstroemeriaceae,Bomarea,Bomarea praeusta,1
Alstroemeriaceae,Bomarea,Bomarea puracensis,1
Alstroemeriaceae,Bomarea,Bomarea purpurea,1
Alstroemeriaceae,Bomarea,Bomarea rosea,1
Alstroemeriaceae,Bomarea,Bomarea salsilla,1
Alstroemeriaceae,Bomarea,Bomarea sclerophylla,1
Alstroemeriaceae,Bomarea,Bomarea setacea,1
