Genero;Freq
Passiflora;440
Mikania;329
Dioscorea;282
Ipomoea;260
Serjania;244
Paullinia;211
Matelea;209
Philodendron;205
Aristolochia;196
Heteropterys;128
Mandevilla;118
Smilax;111
Ditassa;107
Pentacalia;99
Stigmaphyllon;97
Manettia;93
Marsdenia;93
Anthurium;92
Dalechampia;87
Cissus;85
Cynanchum;83
Bomarea;82
Machaerium;82
Metastelma;82
Adenocalymma;79
Solanum;77
Gonolobus;76
Strychnos;71
Galactia;69
Oxypetalum;69
Jacquemontia;68
Cayaponia;65
Mendoncia;65
Banisteriopsis;64
Prestonia;64
Fridericia;61
Marcgravia;59
Tetrapterys;58
Dioclea;54
Rubus;54
Tropaeolum;54
Mascagnia;53
Doliocarpus;50
Hiraea;50
Schnella;49
Gurania;48
Vanilla;48
Amphilophium;47
Securidaca;47
Aegiphila;45
Asplundia;45
Anemopaegma;44
Lycianthes;42
Forsteronia;41
Sabicea;41
Canavalia;40
Piptocarpha;40
Siphocampylus;40
Blakea;39
Columnea;39
Byttneria;38
Centrosema;38
Chusquea;38
Odontocarya;38
Peperomia;38
Rourea;36
Connarus;35
Abuta;34
Gouania;34
Piper;34
Sicyos;34
Monstera;33
Salacia;32
Combretum;31
Drymonia;31
Mutisia;31
Bignonia;29
Cyclanthera;29
Senegalia;29
Apodanthera;28
Begonia;28
Disciphania;28
Mimosa;28
Phaseolus;28
Philibertia;28
Psammisia;28
Rhynchosia;27
Senna;27
Blepharodon;26
Clitoria;26
Diplopterys;26
Miconia;26
Odontadenia;26
Tragia;26
Trigonia;26
Davilla;25
Tassadia;25
Tontelea;25
Arthrostylidium;24
Vigna;24
Desmoncus;23
Syngonium;23
Adelobotrys;22
Centropogon;22
Merremia;22
Orthosia;22
Schlegelia;22
Schradera;22
Tournefortia;22
Caiophora;21
Clematis;21
Dalbergia;21
Koanophyllon;21
Sciadotenia;21
Cuspidaria;20
Malanea;20
Maripa;20
Mucuna;19
Piptadenia;19
Bonamia;18
Cobaea;18
Heteropsis;18
Peritassa;18
Tetracera;18
Baccharis;17
Dictyanthus;17
Niedenzuella;17
Tanaecium;17
Urvillea;17
Desmodium;16
Disterigma;16
Markea;16
Rajania;16
Souroubea;16
Cheiloclinium;15
Dicranostyles;15
Justicia;15
Pleonotoma;15
Tynanthus;15
Burmeistera;14
Chaetocalyx;14
Janusia;14
Lundia;14
Macroptilium;14
Aulonemia;13
Corryocactus;13
Cucurbita;13
Manihot;13
Melothria;13
Paradrymonia;13
Peixotoa;13
Pseudogynoxys;13
Cavendishia;12
Cissampelos;12
Clidemia;12
Merostachys;12
Petrea;12
Rhodospatha;12
Aetheolaena;11
Anredera;11
Araujia;11
Calceolaria;11
Clusia;11
Coccoloba;11
Echites;11
Lepidaploa;11
Macroscepis;11
Mansoa;11
Mesechites;11
Munnozia;11
Operculina;11
Orthaea;11
Plukenetia;11
Satyria;11
Thinouia;11
Vicia;11
Calopogonium;10
Celastrus;10
Galium;10
Jobinia;10
Jungia;10
Myriopus;10
Peltastes;10
Pristimera;10
Psiguria;10
Salmea;10
Allomarkgrafia;9
Antillanthus;9
Bredemeyera;9
Camptosema;9
Cardiospermum;9
Convolvulus;9
Guilandina;9
Hyperbaena;9
Scleria;9
Scyphostelma;9
Alloplectus;8
Amorimia;8
Anomospermum;8
Bronwenia;8
Cereus;8
Cleistocactus;8
Deguelia;8
Dolichandra;8
Fevillea;8
Fischeria;8
Funastrum;8
Haageocereus;8
Herreria;8
Hylocereus;8
Ischnosiphon;8
Lathyrus;8
Moutabea;8
Psychopterys;8
Sarcopera;8
Schwartzia;8
Sicydium;8
Sparattanthelium;8
Stenospermation;8
Telitoxicum;8
Valeriana;8
Annona;7
Bidens;7
Calea;7
Condylocarpon;7
Dicella;7
Dichapetalum;7
Elateriopsis;7
Hebanthe;7
Iresine;7
Juanulloa;7
Luffa;7
Mezia;7
Pachyrhizus;7
Peplonia;7
Platygyna;7
Pleurisanthes;7
Sarcostemma;7
Sechium;7
Siparuna;7
Trixis;7
Anchietea;6
Asketanthera;6
Callaeum;6
Colignonia;6
Critonia;6
Dasyphyllum;6
Echinopepon;6
Fuchsia;6
Ibatia;6
Jubelina;6
Lycoseris;6
Macroditassa;6
Metalepis;6
Otopappus;6
Pedersenia;6
Petalostelma;6
Ruyschia;6
Seguieria;6
Sphyrospermum;6
Varronia;6
Vitis;6
Allamanda;5
Ancistrotropis;5
Archibaccharis;5
Bia;5
Bougainvillea;5
Carolus;5
Caryomene;5
Ceratosanthes;5
Christianella;5
Chromolaena;5
Cratylia;5
Croton;5
Cucumis;5
Cuervea;5
Curarea;5
Dichorisandra;5
Heisteria;5
Hemipogon;5
Jasminum;5
Lachnostoma;5
Laubertia;5
Lonchocarpus;5
Lonicera;5
Marcgraviastrum;5
Pseudoconnarus;5
Randia;5
Rhipidocladum;5
Ruellia;5
Rytidostylis;5
Schubertia;5
Schultesianthus;5
Secondatia;5
Selenicereus;5
Thryallis;5
Trianaea;5
Turbina;5
Wilbrandia;5
Abrus;4
Ampelocissus;4
Antigonon;4
Calycobolus;4
Chiococca;4
Cionosicys;4
Condylopodium;4
Coussapoa;4
Cynophalla;4
Denscantia;4
Elachyptera;4
Euphorbia;4
Excentradenia;4
Gonocalyx;4
Helmontia;4
Heterocentron;4
Hillia;4
Hydrangea;4
Lasiacis;4
Leandra;4
Lophopterys;4
Malpighiodes;4
Manekia;4
Notopleura;4
Oplonia;4
Oreocereus;4
Orthomene;4
Periandra;4
Sigmoidotropis;4
Temnadenia;4
Thibaudia;4
Triopterys;4
Urera;4
Vernonanthura;4
Acalypha;3
Adelphia;3
Adenopodia;3
Alloispermum;3
Aniseia;3
Asplundianthus;3
Bisgoeppertia;3
Blumenbachia;3
Calycophysum;3
Calyptrion;3
Calystegia;3
Capparis;3
Celtis;3
Cestrum;3
Chomelia;3
Chondrodendron;3
Cleobulia;3
Clusiella;3
Codonanthopsis;3
Dilkea;3
Eccremocarpus;3
Epiphyllum;3
Ericentrodea;3
Fernaldia;3
Gaudichaudia;3
Glossoloma;3
Graffenrieda;3
Guatteria;3
Hidalgoa;3
Houssayanthus;3
Loxanthocereus;3
Ludovia;3
Macropharynx;3
Macrosamanea;3
Martinella;3
Merinthopodium;3
Montanoa;3
Muehlenbeckia;3
Neodillenia;3
Nephradenia;3
Norantea;3
Oligactis;3
Pachyptera;3
Pacouria;3
Phainantha;3
Piptocoma;3
Polygala;3
Pteropepon;3
Rhabdadenia;3
Rhodochiton;3
Salpichroa;3
Schizocarpum;3
Schwenckia;3
Selysia;3
Sicana;3
Sinclairia;3
Stenomeria;3
Teramnus;3
Themistoclesia;3
Thyrsacanthus;3
Trichostigma;3
Vaccinium;3
Verbesina;3
Vincetoxicum;3
Viola;3
Xylophragma;3
Aenigmatanthera;2
Aganisia;2
Ageratina;2
Aiouea;2
Alicia;2
Alternanthera;2
Ancistrothyrsus;2
Angadenia;2
Anthodon;2
Bahiella;2
Bartlettina;2
Borreria;2
Borzicactus;2
Buddleja;2
Campsis;2
Casimirella;2
Chamaecrista;2
Chamissoa;2
Chrysothemis;2
Citrullus;2
Clerodendrum;2
Clibadium;2
Cnestidium;2
Cocculus;2
Codonanthe;2
Colanthelia;2
Cologania;2
Condylostylis;2
Congea;2
Cryptostegia;2
Cucurbitella;2
Demosthenesia;2
Dendrophorbium;2
Dolichopsis;2
Dresslerothamnus;2
Elaphandra;2
Elytrostachys;2
Entada;2
Epipremnum;2
Galactophora;2
Gomphocarpus;2
Gomphrena;2
Guadua;2
Hawkesiophyton;2
Hebeclinium;2
Heppiella;2
Hibiscus;2
Hippocratea;2
Hymenostephium;2
Ichnanthus;2
Keraunea;2
Kohleria;2
Lagenaria;2
Lantana;2
Liabum;2
Llerasia;2
Lophospermum;2
Lophostigma;2
Lophostoma;2
Mabea;2
Macleania;2
Maurandya;2
Meriania;2
Microsechium;2
Momordica;2
Monsanima;2
Morinda;2
Morrenia;2
Nautilocalyx;2
Neojobertia;2
Nesampelos;2
Nissolia;2
Notoptera;2
Oblivia;2
Odonellia;2
Olyra;2
Omphalea;2
Ophryosporus;2
Ossaea;2
Oxyrhynchus;2
Parodiolyra;2
Penelopeia;2
Pentalinon;2
Perymenium;2
Pilosocereus;2
Pinochia;2
Pisonia;2
Pleiochiton;2
Polyclathra;2
Polystemma;2
Pruskortizia;2
Pseudorhipsalis;2
Pueraria;2
Rhytidostemma;2
Rochefortia;2
Rosenbergiodendron;2
Sapphoa;2
Scutellaria;2
Sechiopsis;2
Siolmatra;2
Stegnosperma;2
Steyermarkina;2
Stizophyllum;2
Telminostelma;2
Tetraphysa;2
Tilesia;2
Tococa;2
Triolena;2
Uncaria;2
Vailia;2
Vellosiella;2
Zexmenia;2
Zygosepalum;2
Acidocroton;1
Adenophyllum;1
Agdestis;1
Ahzolia;1
Alvimiantha;1
Amicia;1
Ampelopsis;1
Ampelozizyphus;1
Amphirrhox;1
Anechites;1
Aphelandra;1
Apurimacia;1
Arcytophyllum;1
Aristeguietia;1
Arthrostemma;1
Aspilia;1
Astephanus;1
Athroostachys;1
Atractantha;1
Attilaea;1
Austrobrickellia;1
Ayapana;1
Barbieria;1
Barnadesia;1
Basella;1
Basistemon;1
Beaumontia;1
Belemia;1
Benincasa;1
Berchemia;1
Bernardinia;1
Berylsimpsonia;1
Besleria;1
Biancaea;1
Boerhavia;1
Borismene;1
Brunfelsia;1
Callichlamys;1
Calostigma;1
Capanea;1
Casearia;1
Celosia;1
Ceratostema;1
Chalema;1
Chamaedorea;1
Chorisepalum;1
Citharexylum;1
Clematicissus;1
Cleome;1
Coccinia;1
Cochliasanthus;1
Commelina;1
Condylidium;1
Coreopsis;1
Coriaria;1
Cottsia;1
Cressa;1
Critoniopsis;1
Cryptocarpus;1
Cuatrecasanthus;1
Cucumeropsis;1
Cuphea;1
Cyathomone;1
Cydista;1
Cymbosema;1
Cyrtocymura;1
Dasytropis;1
Desmanthodium;1
Diclidanthera;1
Dicliptera;1
Dicranopygium;1
Digomphia;1
Diodella;1
Diogenesia;1
Dipogon;1
Disocactus;1
Dolichoura;1
Doyerea;1
Dulacia;1
Echinopsis;1
Echinopterys;1
Ectopopterys;1
Eirmocephala;1
Ekmaniopappus;1
Elaterium;1
Electranthera;1
Elephantomene;1
Emmeorhiza;1
Evodianthus;1
Exarata;1
Fallopia;1
Fleischmannia;1
Floscopa;1
Fuertesia;1
Galianthe;1
Gambelia;1
Gaultheria;1
Gongrostylus;1
Graciemoriana;1
Grazielanthus;1
Griselinia;1
Gronovia;1
Hanburia;1
Haplophyton;1
Harnackia;1
Harrisia;1
Havardia;1
Heladena;1
Helicotropis;1
Helicteres;1
Hemiangium;1
Henleophytum;1
Herissantia;1
Herodotia;1
Heterocondylus;1
Holmskioldia;1
Homalomena;1
Hybanthopsis;1
Hylaea;1
