"Family","Genus","Species","CM","taxized_names"
"Acanthaceae","Aphelandra","Aphelandra tomentosa",3,"Aphelandra tomentosa Lindau"
"Acanthaceae","Dasytropis","Dasytropis fragilis",3,"Dasytropis fragilis Urb."
"Acanthaceae","Dicliptera","Dicliptera purpurascens",3,"Dicliptera purpurascens Wassh. & J.R.I.Wood"
"Acanthaceae","Justicia","Justicia adenothyrsa",3,"Justicia adenothyrsa (Lindau) T.F.Daniel"
"Acanthaceae","Justicia","Justicia anabasa",3,"Justicia anabasa Leonard"
"Acanthaceae","Justicia","Justicia brasiliana",3,"Justicia brasiliana Roth"
"Acanthaceae","Justicia","Justicia cydoniifolia",3,"Justicia cydoniifolia (Nees) Lindau"
"Acanthaceae","Justicia","Justicia fuchsiifolia",3,"Justicia fuchsiifolia Leonard"
"Acanthaceae","Justicia","Justicia graciliflora",3,"Justicia graciliflora Wall."
"Acanthaceae","Justicia","Justicia kirkbridei",3,"Justicia kirkbridei Wassh."
"Acanthaceae","Justicia","Justicia megalantha",3,"Justicia megalantha Wassh. & J.R.I.Wood"
"Acanthaceae","Justicia","Justicia monopleurantha",3,"Justicia monopleurantha (Lindau) Wassh."
"Acanthaceae","Justicia","Justicia nicaraguensis",3,"Aphelandra tomentosa Lindau"
"Acanthaceae","Justicia","Justicia pyrrhostachya",3,"Justicia pyrrhostachya (Lindau) Wassh."
"Acanthaceae","Justicia","Justicia sarapiquensis",3,"Justicia sarapiquensis McDade"
"Acanthaceae","Justicia","Justicia scansilis",3,"Justicia scansilis (Rizzini) V.A.W.Graham"
"Acanthaceae","Justicia","Justicia schomburgkiana",3,"Justicia schomburgkiana (Nees) V.A.W.Graham"
"Acanthaceae","Justicia","Justicia spicigera",3,"Justicia spicigera Schltdl."
"Acanthaceae","Mendoncia","Mendoncia albiflora",1,"Mendoncia albiflora Leonard"
"Acanthaceae","Mendoncia","Mendoncia antioquiensis",1,"Mendoncia antioquiensis Wassh."
"Acanthaceae","Mendoncia","Mendoncia aspera",1,"Mendoncia aspera Ruiz & Pav."
