"","species","temp","prec","pet","aridity","lon","lat"
"1","Anthodon decussatum Ruiz & Pav.",220,2320,1337,14482,-50.327778,-6.408333
"2","Anthodon decussatum Ruiz & Pav.",267,1894,1522,12226,-49.266414,-8.262992
"3","Anthodon decussatum Ruiz & Pav.",259,2136,1398,12144,-54.189722,-2.026111
"4","Anthodon decussatum Ruiz & Pav.",251,1473,1460,12961,-55.66,-10.969722
"5","Anthodon decussatum Ruiz & Pav.",262,2482,1326,17379,-59.973056,-2.929389
"6","Anthodon decussatum Ruiz & Pav.",205,1391,1343,9632,-46.916667,-22.833333
"7","Anthodon decussatum Ruiz & Pav.",253,2560,1685,18675,-65.95,-16.383333
"8","Anthodon decussatum Ruiz & Pav.",241,1001,1448,11316,-72.954167,-12.451389
"9","Anthodon decussatum Ruiz & Pav.",226,1007,1425,12722,-68.587778,-14.428611
"10","Anthodon decussatum Ruiz & Pav.",253,2498,1632,15570,-67.95,5.3075
"11","Anthodon decussatum Ruiz & Pav.",230,1512,1562,9923,-48.406388,-16.311388
"12","Anthodon decussatum Ruiz & Pav.",252,3613,1371,25177,-70.1,-12.57
"13","Anthodon decussatum Ruiz & Pav.",253,5025,1358,29406,-70.016667,-12.95
"14","Anthodon decussatum Ruiz & Pav.",243,1235,1351,8948,-42.624722,-19.793611
"15","Anthodon decussatum Ruiz & Pav.",245,3204,1243,22057,-72.111111,-0.661111
"16","Anthodon decussatum Ruiz & Pav.",261,1494,1571,9699,-51.974722,-14.567778
"17","Anthodon decussatum Ruiz & Pav.",240,1235,1759,7545,-63.466667,-17.672222
"18","Anthodon decussatum Ruiz & Pav.",247,2289,1430,15862,-74.16,2.66
"19","Anthodon decussatum Ruiz & Pav.",253,1662,1381,12107,-67.983333,-11.733333
"20","Anthodon decussatum Ruiz & Pav.",231,1108,1635,7130,-61.9858,-16.1194
"21","Anthodon decussatum Ruiz & Pav.",216,1537,1497,10352,-60.7167,-14.6333
"22","Anthodon decussatum Ruiz & Pav.",251,1185,1118,11631,-79.65,-2.4
"23","Anthodon decussatum Ruiz & Pav.",254,1991,1604,12099,-66.616667,-15.166667
"24","Anthodon decussatum Ruiz & Pav.",255,1368,1713,9139,-61.733333,8.366667
"25","Anthodon decussatum Ruiz & Pav.",253,2695,1382,17775,-69.28,-12.83
"26","Anthodon decussatum Ruiz & Pav.",247,1134,1357,15927,-71.97,-11.6
"27","Anthodon decussatum Ruiz & Pav.",259,1681,1291,13490,-75.17,-7.08
"28","Anthodon decussatum Ruiz & Pav.",249,1330,1365,18396,-71.4167,-11.8333
"29","Anthodon decussatum Ruiz & Pav.",259,2698,1338,18047,-59.88214,-2.432687
"30","Anthodon decussatum Ruiz & Pav.",249,1919,1514,12449,-52.4,-11.25
"31","Anthodon decussatum Ruiz & Pav.",237,2844,1438,15397,-54.9717,-8.7967
"32","Anthodon decussatum Ruiz & Pav.",254,2313,1652,14417,-77.4,7.9
"33","Anthodon decussatum Ruiz & Pav.",261,6838,1408,45744,-77.3531,4.95639
"34","Anthodon decussatum Ruiz & Pav.",257,1476,1563,9928,-51.76667,-12.81667
"35","Anthodon decussatum Ruiz & Pav.",250,2334,1406,18084,-65.928794,0.6466
"36","Anthodon decussatum Ruiz & Pav.",244,2260,1571,16067,-66.958333,5.366667
"37","Anthodon decussatum Ruiz & Pav.",251,3154,1512,18325,-65.72,3.14
"38","Anthodon decussatum Ruiz & Pav.",263,1408,1792,10732,-79.9106,8.5714
"39","Anthodon decussatum Ruiz & Pav.",257,1760,1366,13308,-74.375627,-9.163761
"40","Anthodon decussatum Ruiz & Pav.",139,2217,1387,15551,-75.506,6.22264
