"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Anthodon decussatum Ruiz & Pav.","40","5.695867","0.0074","0.00117","1e-06","Anthodon decussatum Ruiz & Pav.","40","7.56642","0.426541","0.067442","0.002918","Anthodon decussatum Ruiz & Pav.","40","7.283274","0.099316","0.015703","0.000271","Anthodon decussatum Ruiz & Pav.","40","9.547192","0.362973","0.057391","0.003042"
"2","Cheiloclinium anomalum Miers","30","5.695005","0.005917","0.00108","1e-06","Cheiloclinium anomalum Miers","30","7.739188","0.340726","0.062208","0.003891","Cheiloclinium anomalum Miers","30","7.229058","0.111239","0.020309","0.000361","Cheiloclinium anomalum Miers","30","9.73196","0.33243","0.060693","0.004056"
"3","Cheiloclinium brevipetiolatum Lombardi","3","5.699048","0.002128","0.001229","1.2e-05","Cheiloclinium brevipetiolatum Lombardi","3","7.50507","0.16012","0.092445","0.038913","Cheiloclinium brevipetiolatum Lombardi","3","7.360552","0.034641","0.02","0.003611","Cheiloclinium brevipetiolatum Lombardi","3","9.404071","0.093917","0.054223","0.040561"
"4","Cheiloclinium habropodum A.C.Sm.","1","5.696254",NA,NA,"3.6e-05","Cheiloclinium habropodum A.C.Sm.","1","8.157944",NA,NA,"0.116739","Cheiloclinium habropodum A.C.Sm.","1","7.269617",NA,NA,"0.010833","Cheiloclinium habropodum A.C.Sm.","1","10.068578",NA,NA,"0.121683"
"5","Cheiloclinium obtusum A.C.Sm.","21","5.697367","0.00343","0.000748","2e-06","Cheiloclinium obtusum A.C.Sm.","21","7.79688","0.208399","0.045476","0.005559","Cheiloclinium obtusum A.C.Sm.","21","7.203421","0.120627","0.026323","0.000516","Cheiloclinium obtusum A.C.Sm.","21","9.823402","0.194986","0.042549","0.005794"
"6","Cuervea crenulata Mennega","3","5.695578","0.003697","0.002134","1.2e-05","Cuervea crenulata Mennega","3","6.825877","0.187262","0.108116","0.038913","Cuervea crenulata Mennega","3","7.31599","0.090567","0.052289","0.003611","Cuervea crenulata Mennega","3","8.717436","0.145684","0.084111","0.040561"
"7","Elachyptera coriacea Lombardi","2","5.686107","0.009116","0.006446","1.8e-05","Elachyptera coriacea Lombardi","2","6.801494","0.101357","0.07167","0.05837","Elachyptera coriacea Lombardi","2","7.35894","0.045926","0.032475","0.005416","Elachyptera coriacea Lombardi","2","8.709154","0.265265","0.187571","0.060842"
"8","Hippocratea volubilis L.","372","5.696216","0.007339","0.000381","0","Hippocratea volubilis L.","372","7.402397","0.455531","0.023618","0.000314","Hippocratea volubilis L.","369","7.3545","0.130702","0.006804","2.9e-05","Hippocratea volubilis L.","369","9.278429","0.481924","0.025088","0.00033"
"9","Peritassa bullata A.C.Sm.","4","5.695329","0.001585","0.000793","9e-06","Peritassa bullata A.C.Sm.","4","8.083879","0.234297","0.117148","0.029185","Peritassa bullata A.C.Sm.","4","7.075723","0.015067","0.007534","0.002708","Peritassa bullata A.C.Sm.","4","10.12234","0.110496","0.055248","0.030421"
"10","Peritassa flaviflora A.C.Sm.","7","5.69056","0.006317","0.002388","5e-06","Peritassa flaviflora A.C.Sm.","7","7.142176","0.189809","0.071741","0.016677","Peritassa flaviflora A.C.Sm.","7","7.182656","0.053676","0.020288","0.001548","Peritassa flaviflora A.C.Sm.","7","9.187355","0.160679","0.060731","0.017383"
"11","Peritassa manaoara Lombardi","1","5.700611",NA,NA,"3.6e-05","Peritassa manaoara Lombardi","1","7.808729",NA,NA,"0.116739","Peritassa manaoara Lombardi","1","7.201916",NA,NA,"0.010833","Peritassa manaoara Lombardi","1","9.801344",NA,NA,"0.121683"
