"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Anthodon decussatum Ruiz & Pav.","40","24.4925","2.176964","0.344208","0.077705","Anthodon decussatum Ruiz & Pav.","40","2132.025","1117.853036","176.748084","13561.153135","Anthodon decussatum Ruiz & Pav.","40","1462.775","145.977428","23.081058","592.740814","Anthodon decussatum Ruiz & Pav.","40","15045.475","6781.736934","1072.28676","636079.926334"
"2","Cheiloclinium anomalum Miers","30","24.233333","1.749548","0.319422","0.103606","Cheiloclinium anomalum Miers","30","2422.933333","797.354243","145.576302","18081.537513","Cheiloclinium anomalum Miers","30","1387.3","157.429163","28.742501","790.321085","Cheiloclinium anomalum Miers","30","17723.533333","5497.454751","1003.693325","848106.568445"
"3","Cheiloclinium brevipetiolatum Lombardi","3","25.433333","0.635085","0.366666","1.036064","Cheiloclinium brevipetiolatum Lombardi","3","1833","298.196244","172.163682","180815.375131","Cheiloclinium brevipetiolatum Lombardi","3","1573.333333","54.537449","31.487211","7903.210855","Cheiloclinium brevipetiolatum Lombardi","3","12174","1170.000427","675.500061","8481065.684447"
"4","Cheiloclinium habropodum A.C.Sm.","1","24.6",NA,NA,"3.108191","Cheiloclinium habropodum A.C.Sm.","1","3491",NA,NA,"542446.125393","Cheiloclinium habropodum A.C.Sm.","1","1436",NA,NA,"23709.632564","Cheiloclinium habropodum A.C.Sm.","1","23590",NA,NA,"25443197.05334"
"5","Cheiloclinium obtusum A.C.Sm.","21","24.933333","1.019967","0.222575","0.148009","Cheiloclinium obtusum A.C.Sm.","21","2481.380952","489.684028","106.857815","25830.767876","Cheiloclinium obtusum A.C.Sm.","21","1353.47619","166.215709","36.271241","1129.030122","Cheiloclinium obtusum A.C.Sm.","21","18792.904762","3610.710247","787.921572","1211580.812064"
"6","Cuervea crenulata Mennega","3","24.4","1.1","0.635085","1.036064","Cuervea crenulata Mennega","3","932.333333","177.314222","102.372414","180815.375131","Cuervea crenulata Mennega","3","1508.333333","139.285079","80.416278","7903.210855","Cuervea crenulata Mennega","3","6153","930.447204","537.193944","8481065.684447"
"7","Elachyptera coriacea Lombardi","2","21.6","2.687006","1.9","1.554095","Elachyptera coriacea Lombardi","2","901.5","91.216775","64.5","271223.062696","Elachyptera coriacea Lombardi","2","1571","72.124892","51","11854.816282","Elachyptera coriacea Lombardi","2","6165","1616.446102","1143","12721598.52667"
"8","Hippocratea volubilis L.","372","24.596505","2.168399","0.112426","0.008355","Hippocratea volubilis L.","372","1813.887097","842.849705","43.699722","1458.188509","Hippocratea volubilis L.","369","1576.322493","200.494068","10.437304","64.253747","Hippocratea volubilis L.","369","11983.482385","5820.900086","303.023955","68951.753532"
"9","Peritassa bullata A.C.Sm.","4","24.325","0.471699","0.235849","0.777048","Peritassa bullata A.C.Sm.","4","3313","840.274558","420.137279","135611.531348","Peritassa bullata A.C.Sm.","4","1183","17.907168","8.953584","5927.408141","Peritassa bullata A.C.Sm.","4","25008.5","2811.2764","1405.6382","6360799.263335"
"10","Peritassa flaviflora A.C.Sm.","7","22.914286","1.863177","0.704215","0.444027","Peritassa flaviflora A.C.Sm.","7","1283.571429","238.369361","90.09515","77492.303628","Peritassa flaviflora A.C.Sm.","7","1318","69.038637","26.094152","3387.090366","Peritassa flaviflora A.C.Sm.","7","9886.142857","1690.436672","638.925006","3634742.436191"
"11","Peritassa manaoara Lombardi","1","25.9",NA,NA,"3.108191","Peritassa manaoara Lombardi","1","2462",NA,NA,"542446.125393","Peritassa manaoara Lombardi","1","1342",NA,NA,"23709.632564","Peritassa manaoara Lombardi","1","18058",NA,NA,"25443197.05334"
"12","Peritassa sadleri Lombardi","1","20.4",NA,NA,"3.108191","Peritassa sadleri Lombardi","1","1223",NA,NA,"542446.125393","Peritassa sadleri Lombardi","1","1228",NA,NA,"23709.632564","Peritassa sadleri Lombardi","1","10856",NA,NA,"25443197.05334"
