"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Mechanism"
"1","Herreria glaziovii Lecomte",5.692389,0.001216,6e-06,6.932779,0.075972,0.010724,7.281671,0.024315,0.000872,8.777855,0.092581,0.011639,"Mechanism_1"
"2","Herreria grandiflora Griseb.",5.692865,0.007077,3.7e-05,6.922327,0.149246,0.069706,7.400125,0.047043,0.005669,8.697705,0.342795,0.075653,"Mechanism_1"
"3","Herreria latifolia Woodson",5.69684,0.001038,1.8e-05,7.080748,0.105884,0.034853,7.445136,0.038134,0.002834,8.921692,0.147538,0.037827,"Mechanism_1"
"4","Herreria montevidensis Klotzsch ex Griseb.",5.690438,0.002442,4e-06,6.897554,0.063618,0.006971,7.449108,0.018413,0.000567,8.633848,0.085753,0.007565,"Mechanism_1"
"5","Lescaillea equisetiformis Griseb.",5.696926,NA,7.4e-05,7.163172,NA,0.139413,7.429521,NA,0.011337,9.061608,NA,0.151306,"Mechanism_1"
"6","Mikania acuminata DC.",5.677456,0.001897,6e-06,7.385421,0.06923,0.010724,7.194259,0.023541,0.000872,9.316503,0.053477,0.011639,"Mechanism_1"
"7","Mikania additicia B.L.Rob.",5.66483,0.006187,2.5e-05,7.319012,0.114023,0.046471,7.050388,0.024419,0.003779,9.609035,0.129234,0.050435,"Mechanism_1"
"8","Mikania amblyolepis B.L.Rob.",5.703724,0.001111,1.2e-05,7.52059,0.110819,0.023235,7.551376,0.041187,0.00189,9.138698,0.142015,0.025218,"Mechanism_1"
"9","Mikania amorimii Borges & Forzza",5.68409,NA,7.4e-05,7.483244,NA,0.139413,7.172425,NA,0.011337,9.421735,NA,0.151306,"Mechanism_1"
"10","Mikania andrei B.L.Rob.",5.649138,0.004929,3.7e-05,7.174906,0.065026,0.069706,6.93604,0.106246,0.005669,9.322586,0.04039,0.075653,"Mechanism_1"
"11","Mikania angularis Humb. & Bonpl.",5.683294,0.00442,8e-06,7.79261,0.215441,0.01549,7.211108,0.033877,0.00126,9.64942,0.210548,0.016812,"Mechanism_1"
"12","Mikania aquaria B.L.Rob.",5.691527,0.003026,1.8e-05,7.731431,0.071484,0.034853,7.217077,0.024908,0.002834,9.499515,0.15338,0.037827,"Mechanism_1"
"13","Mikania archeri B.L.Rob.",5.66244,NA,7.4e-05,7.789869,NA,0.139413,7.242798,NA,0.011337,9.749987,NA,0.151306,"Mechanism_1"
"14","Mikania argyreiae DC.",5.682348,0.00284,7e-06,7.322887,0.058349,0.012674,7.143923,0.022964,0.001031,9.271655,0.065972,0.013755,"Mechanism_1"
"15","Mikania argyropappa Sch.Bip. ex Baker",5.68341,NA,7.4e-05,7.584773,NA,0.139413,7.307873,NA,0.011337,9.253208,NA,0.151306,"Mechanism_1"
"16","Mikania aristei B.L.Rob.",5.646798,0.001431,2.5e-05,7.41168,0.140017,0.046471,7.022675,0.013907,0.003779,9.410974,0.121671,0.050435,"Mechanism_1"
"17","Mikania arthroclada B.L.Rob.",5.646683,NA,7.4e-05,7.79688,NA,0.139413,7.153052,NA,0.011337,9.050406,NA,0.151306,"Mechanism_1"
"18","Mikania aschersonii Hieron.",5.676841,0.002768,3e-06,7.507916,0.114065,0.006061,7.207121,0.026587,0.000493,9.538778,0.103041,0.006579,"Mechanism_1"
"19","Mikania banisteriae DC.",5.682103,0.001395,1e-06,7.715845,0.043058,0.001162,7.218319,0.012043,9.4e-05,9.6058,0.046409,0.001261,"Mechanism_1"
"20","Mikania barahonensis Urb.",5.674525,NA,7.4e-05,7.238497,NA,0.139413,7.325808,NA,0.011337,9.282103,NA,0.151306,"Mechanism_1"
"21","Mikania bogotensis Benth.",5.66092,0.00494,9e-06,7.299003,0.160743,0.017427,7.060838,0.047202,0.001417,9.399163,0.093317,0.018913,"Mechanism_1"
"22","Mikania boomii Pruski",5.672464,NA,7.4e-05,7.790282,NA,0.139413,7.224753,NA,0.011337,9.402117,NA,0.151306,"Mechanism_1"
"23","Mikania brachyphylla Hieron.",5.647202,0.00441,3.7e-05,7.280132,0.249274,0.069706,6.991637,0.00046,0.005669,9.358803,0.099959,0.075653,"Mechanism_1"
"24","Mikania buddleiaefolia DC.",5.671824,0.003239,1.5e-05,7.486924,0.068739,0.027883,7.104805,0.031667,0.002267,9.526573,0.076411,0.030261,"Mechanism_1"
