Order;Family;Nr;;x;;
Lamiales;Acanthaceae;100;;Abietaceae; Pinaceae ;Pinales
Caryophyllales;Aizoaceae;1;;Abolbodaceae; Xyridaceae ;Poales
Liliales;Alstroemeriaceae;66;;Abrophyllaceae; Rousseaceae ;Asterales
Liliales;Amaranthaceae;26;;Acaciaceae; Fabaceae ;Fabales
Liliales;Anacardiaceae;3;;Acalyphaceae; Euphorbiaceae ;Malpighiales
Liliales;Annonaceae;9;;Acanthaceae ;;Lamiales
Liliales;Apocynaceae;1006;;Acanthochlamydaceae; Velloziaceae ;Pandanales
Liliales;Araceae;370;;Acarnaceae; Asteraceae ;Asterales
Liliales;Arecaceae;20;;Aceraceae; Sapindaceae ;Sapindales
Liliales;Aristolochiaceae;173;;Achariaceae ;;Malpighiales
Liliales;Asparagaceae;7;;Achatocarpaceae ;;Caryophyllales
Liliales;Asteraceae;702;;Achradaceae; Sapotaceae ;Ericales
Liliales;Basellaceae;13;;Achyranthaceae; Amaranthaceae ;Caryophyllales
Liliales;Begoniaceae;26;;Acmopylaceae; Podocarpaceae ;Cupressales
Liliales;Bignoniaceae;348;;Aconitaceae; Ranunculaceae ;Ranunculales
Liliales;Boraginaceae;25;;Acoraceae ;;Acorales
Liliales;Cactaceae;24;;Acristaceae; Arecaceae ;Arecales
Liliales;Calceolariaceae;11;;Acrostichaceae; Pteridaceae ;Polypodiales
Liliales;Calophyllaceae;3;;Actaeaceae; Ranunculaceae ;Ranunculales
Liliales;Campanulaceae;73;;Actinidiaceae ;;Ericales
Liliales;Cannabaceae;1;;Actiniopteridaceae; Pteridaceae ;Polypodiales
Liliales;Caprifoliaceae;11;;Actinotaceae; Apiaceae ;Apiales
Liliales;Caryophyllaceae;1;;Adenogrammaceae; Molluginaceae ;Caryophyllales
Liliales;Celastraceae;103;;Adiantaceae; Pteridaceae ;Polypodiales
Liliales;Cleomaceae;1;;Adoxaceae; Viburnaceae ;Dipsacales
Liliales;Clusiaceae;12;;Aegialitidaceae; Plumbaginaceae ;Caryophyllales
Liliales;Combretaceae;27;;Aegicerataceae; Primulaceae ;Ericales
Liliales;Commelinaceae;6;;Aegilopaceae; Poaceae ;Poales
Liliales;Connaraceae;75;;Aeginetiaceae; Orobanchaceae ;Lamiales
Liliales;Convolvulaceae;351;;Aegiphilaceae; Lamiaceae ;Lamiales
Liliales;Coriariaceae;1;;Aesculaceae; Sapindaceae ;Sapindales
Liliales;Cucurbitaceae;271;;Aextoxicaceae ;;Berberidopsidales
Liliales;Cyclanthaceae;50;;Agapanthaceae; Amaryllidaceae ;Asparagales
Liliales;Cyperaceae;10;;Agavaceae; Asparagaceae ;Asparagales
Liliales;Dichapetalaceae;7;;Agdestidaceae; Phytolaccaceae ;Caryophyllales
Liliales;Dilleniaceae;90;;Agialidaceae; Zygophyllaceae ;Zygophyllales
Liliales;Dioscoreaceae;245;;Agrimoniaceae; Rosaceae ;Rosales
Liliales;Ericaceae;98;;Agrostidaceae; Poaceae ;Poales
Liliales;Euphorbiaceae;151;;Ailanthaceae; Simaroubaceae ;Sapindales
Liliales;Fabaceae;628;;Aitoniaceae; Meliaceae ;Sapindales
Liliales;Gentianaceae;6;;Aizoaceae ;;Caryophyllales
Liliales;Gesneriaceae;96;;Ajugaceae; Lamiaceae ;Lamiales
Liliales;Griseliniaceae;1;;Akaniaceae ;;Brassicales
Liliales;Hernandiaceae;7;;Alangiaceae; Cornaceae ;Cornales
Liliales;Hydrangeaceae;4;;Alchemillaceae; Rosaceae ;Rosales
Liliales;Icacinaceae;10;;Aldrovandaceae; Droseraceae ;Caryophyllales
Liliales;Lamiaceae;47;;Alismataceae ;;Alismatales
Liliales;Lauraceae;2;;Alliaceae; Amaryllidaceae ;Asparagales
Liliales;Loasaceae;21;;Allioniaceae; Nyctaginaceae ;Caryophyllales
Liliales;Loganiaceae;68;;Allophylaceae; Sapindaceae ;Sapindales
Liliales;Lythraceae;1;;Alniphyllaceae; Styracaceae ;Ericales
Liliales;Malpighiaceae;548;;Aloaceae; Asphodelaceae ;Asparagales
Liliales;Malvaceae;7;;Alopecuraceae; Poaceae ;Poales
Liliales;Marantaceae;8;;Alpiniaceae; Zingiberaceae ;Zingiberales
Liliales;Marcgraviaceae;96;;Alseuosmiaceae ;;Asterales
Liliales;Melastomataceae;97;;Alsinaceae; Caryophyllaceae ;Caryophyllales
Liliales;Menispermaceae;163;;Alsodeiaceae; Violaceae ;Malpighiales
Liliales;Monimiaceae;1;;Alsophilaceae; Cyatheaceae ;Cyatheales
Liliales;Nyctaginaceae;15;;Alstroemeriaceae ;;Liliales
Liliales;Olacaceae;5;;Altingiaceae ;;Saxifragales
Liliales;Oleaceae;5;;Alzateaceae ;;Myrtales
Liliales;Onagraceae;6;;Amaranthaceae ;;Caryophyllales
Liliales;Orchidaceae;34;;Amaryllidaceae ;;Asparagales
Liliales;Orobanchaceae;2;;Amborellaceae ;;Amborellales
Liliales;Passifloraceae;412;;Ambrosiaceae; Asteraceae ;Asterales
Liliales;Petiveriaceae;6;;Amentotaxaceae; Taxaceae ;Cupressales
Liliales;Phyllanthaceae;2;;Ammanniaceae; Lythraceae ;Myrtales
Liliales;Phytolaccaceae;1;;Ammiaceae; Apiaceae ;Apiales
Liliales;Piperaceae;67;;Amomaceae; Zingiberaceae ;Zingiberales
Liliales;Plantaginaceae;6;;Ampelopsidaceae; Vitaceae ;Vitales
Liliales;Poaceae;100;;Amphorogynaceae; Santalaceae ;Santalales
Liliales;Polemoniaceae;17;;Amygdalaceae; Rosaceae ;Rosales
Liliales;Polygalaceae;59;;Amyridaceae; Rutaceae ;Sapindales
Liliales;Polygonaceae;15;;Anacampserotaceae ;;Caryophyllales
Liliales;Polypodiaceae;1;;Anacardiaceae ;;Sapindales
Liliales;Ranunculaceae;18;;Anagallidaceae; Primulaceae ;Ericales
Liliales;Rhamnaceae;33;;Anarthriaceae; Restionaceae ;Poales
Liliales;Rosaceae;48;;Anchusaceae; Boraginaceae ;Boraginales
Liliales;Rubiaceae;216;;Ancistrocladaceae ;;Caryophyllales
Liliales;Rutaceae;1;;Andromedaceae; Ericaceae ;Ericales
Liliales;Salicaceae;1;;Andropogonaceae; Poaceae ;Poales
Liliales;Sapindaceae;440;;Androstachyaceae; Picrodendraceae ;Malpighiales
Liliales;Schlegeliaceae;23;;Androsynaceae; Tecophilaeaceae ;Asparagales
Liliales;Scrophulariaceae;2;;Anemarrhenaceae; Asparagaceae ;Asparagales
Liliales;Siparunaceae;6;;Anemiaceae ;;Schizaeales
Liliales;Smilacaceae;65;;Anemonaceae; Ranunculaceae ;Ranunculales
