"Genus","Crown_Age","Stem_Age","Nr","CM"
"Abuta","10.496","10.501",31,"1"
"Adenocalymma","5.18000000000001","13.447",91,"2"
"Aenigmatanthera","2.92500000000001","4.86799999999999",2,"1"
"Agdestis","/","52.008",1,"1"
"Alicia","/","4.31700000000001",2,"1"
"Allomarkgrafia","0.161000000000001","8.02699999999999",10,"1"
"Amphilophium","6.46100000000001","11.792",51,"2"
"Amphirrhox","9.37700000000001","23.515",1,"3"
"Ancistrothyrsus","/","15.727",2,"2"
"Anemopaegma","/","8.06900000000002",46,"2"
"Angadenia","0.108000000000004","2.58800000000002",2,"1"
"Anredera","12.592","12.627",13,"1"
"Bignonia","9.70300000000003","10.662",33,"2"
"Borismene","/","9.72000000000003",1,"1"
"Calopogonium","3.60500000000002","8.66300000000001",9,"1"
"Calycophysum","5.01300000000003","8.67000000000002",4,"2"
"Carolus","5.178","6.92700000000002",6,"1"
"Caryomene","/","9.40700000000004",5,"1"
"Centrosema","/","8.00800000000004",47,"1"
"Cheiloclinium","3.05200000000002","10.294",11,"5"
"Christianella","2.947","7.29400000000004",5,"1"
"Cobaea","13.383","33.093",18,"2"
"Colignonia","4.024","42.032",8,"3"
"Condylocarpon","/","12.087",8,"1"
"Cucurbitella","/","9.61500000000001",1,"2"
"Curarea","4.08100000000002","7.46300000000002",5,"1"
"Cuspidaria","/","8.96500000000003",19,"2"
"Cymbosema","/","6.08699999999999",1,"1"
"Dicella","9.09899999999999","9.18000000000001",7,"1"
"Dicranostyles","2.63499999999999","6.12299999999999",17,"1"
"Dioclea","8.69999999999999","12.375",66,"1"
"Diplopterys","7.43400000000003","12.564",31,"1"
"Disciphania","/","17.098",30,"1"
"Ditassa","0.680999999999983","0.730999999999995",107,"1"
"Dolichandra","8.24900000000002","15.468",9,"2"
"Doyerea","/","7.72300000000001",1,"2"
"Ectopopterys","/","13.698",1,"1"
"Ekmaniopappus","/","2.76100000000002",1,"3"
"Elephantomene","/","10.501",1,"1"
"Emmeorhiza","/","5.005",1,"1"
"Exarata","/","4.08199999999999",1,"4"
"Excentradenia","/","6.44900000000001",4,"1"
"Fernaldia","/","3.714",1,"1"
"Fevillea","13.01","22.944",8,"2"
"Forsteronia","4.197","8.62",48,"1"
"Fridericia","8.81999999999999","9.90500000000003",71,"2"
"Fuertesia","/","17.259",1,"6"
"Heladena","3.32499999999999","8.79000000000002",1,"1"
"Helmontia","/","3.56999999999999",4,"2"
"Herodotia","/","2.98400000000004",1,"3"
"Herreria","/","16.551",8,"1"
"Heteropsis","35.102","35.127",20,"4"
"Heteropterys","4.06299999999999","4.31700000000001",163,"1"
"Hidalgoa","/","5.14400000000001",3,"6"
"Hybanthopsis","/","20.841",1,"1"
"Itzaea","/","12.704",1,"1"
"Janusia","4.98599999999999","5.00400000000002",16,"1"
"Jubelina","4.99000000000001","5.01300000000003",6,"1"
"Laubertia","/","9.077",4,"1"
"Leonis","/","3.16300000000001",1,"1"
"Leretia","/","4.42900000000003",1,"1"
"Linnaeosicyos","/","17.869",1,"2"
"Ludovia","8.26100000000002","8.95499999999998",3,"4"
"Malpighiodes","0.504999999999995","2.98000000000002",4,"1"
"Manaosella","/","13.325",1,"2"
"Manekia","13.045","38.882",5,"4"
"Marcgravia","10.388","55.438",71,"4"
"Maripa","5.25","6.12299999999999",24,"1"
"Martinella","/","11.868",3,"2"
"Mattfeldia","/","2.72800000000001",1,"1"
"Melothrianthus","/","8.38499999999999",1,"2"
"Merinthopodium","5.00200000000001","5.471",3,"4"
"Mesechites","7.988","8.02699999999999",9,"1"
"Monsanima","4.17200000000003","4.27699999999999",2,"1"
"Neodillenia","/","40.674",3,"1"
"Neomortonia","/","3.53899999999999",1,"4"
"Neorudolphia","/","4.637",1,"1"
"Niedenzuella","4.85700000000003","4.86799999999999",16,"1"
"Odontadenia","2.20800000000003","2.25400000000002",20,"1"
"Odontocarya","1.28700000000003","2.916",42,"1"
"Oldfeltia","/","2.09800000000001",1,"3"
"Orthomene","6.63100000000003","9.78100000000001",4,"1"
"Pachyrhizus","/","8.66300000000001",6,"1"
"Penelopeia","/","7.32400000000001",2,"2"
"Peplonia","0.75200000000001","0.763000000000034",8,"1"
"Perianthomega","/","17.678",1,"6"
"Peritassa","6.87100000000004","10.284",21,"5"
"Petrea","4.92500000000001","4.94400000000002",12,"1"
"Pinzona","/","15.919",1,"1"
"Platygyna","1.78300000000002","3.18299999999999",7,"1"
"Pleonotoma","/","11.868",18,"2"
"Pleurisanthes","/","26.836",7,"1"
"Polyclathra","/","10.923",1,"2"
"Prestonia","5.57900000000001","9.077",68,"1"
"Pseudogynoxys","0.567999999999984","1.50299999999999",15,"1"
"Psychopterys","/","6.43099999999998",8,"1"
"Reissekia","/","18.315",1,"2"
"Rhabdadenia","7.72399999999999","15.435",3,"1"
"Sarcopera","3.62600000000003","10.388",8,"3"
"Schlegelia","1.03200000000004","4.08199999999999",23,"4"
"Schnella","5.51300000000003","6.60900000000004",49,"2"
"Schubertia","/","3.32100000000003",6,"1"
"Sciadotenia","5.70400000000001","7.91700000000003",19,"1"
"Serjania","4.32999999999998","18.516",264,"2"
"Sicana","/","8.654",4,"2"
"Siolmatra","/","6.452",2,"2"
"Stipecoma","/","7.85200000000003",1,"1"
"Tanaecium","8.637","10.26",18,"2"
"Tecunumania","/","9.54300000000001",1,"2"
"Telitoxicum","/","9.40700000000004",8,"1"
"Thoracocarpus","/","9.077",1,"4"
"Thryallis","2.48000000000002","11.997",5,"1"
"Tourrettia","/","23.615",1,"2"
"Trianaea","6.50999999999999","6.548",4,"4"
"Trichostigma","17.351","31.502",4,"3"
"Tynanthus","/","8.96500000000003",17,"2"
"Zemisia","/","2.43700000000001",1,"3"
