;Genera
1;Aphelandra
1;Dasytropis
1;Dicliptera
1;Justicia
1;Mendoncia
1;Neriacanthus
1;Odontonema
1;Oplonia
1;Pachystachys
1;Ruellia
1;Sapphoa
1;Thunbergia
1;Thyrsacanthus
1;Anisacanthus
1;Viburnum
1;Sesuvium
1;Bomarea
1;Alternanthera
1;Celosia
1;Chamissoa
1;Gomphrena
1;Hebanthe
1;Iresine
1;Pedersenia
1;Pfaffia
1;Pleuropetalum
1;Rhus
1;Toxicodendron
1;Annona
1;Guatteria
1;Allamanda
1;Allomarkgrafia
1;Anechites
1;Angadenia
1;Araujia
1;Asketanthera
1;Macropharynx
1;Bahiella
1;Beaumontia
1;Blepharodon
1;Scyphostelma
1;Oxypetalum
1;Condylocarpon
1;Cryptostegia
1;Cynanchum
1;Jobinia
1;Metastelma
1;Orthosia
1;Dictyanthus
1;Matelea
1;Ditassa
1;Macroditassa
1;Echites
1;Fernaldia
1;Fischeria
1;Forsteronia
1;Pinochia
1;Pentacyphus
1;Funastrum
1;Galactophora
1;Gomphocarpus
1;Gonolobus
1;Haplophyton
1;Hemipogon
1;Morilloa
1;Hylaea
1;Hypolobus
1;Laubertia
1;Macroscepis
1;Mandevilla
1;Salpinctes
1;Marsdenia
1;Pherotrichis
1;Diplolepis
1;Philibertia
1;Mesechites
1;Tylodontia
1;Tassadia
1;Minaria
1;Molongum
1;Monsanima
1;Nephradenia
1;Odontadenia
1;Tweedia
1;Pacouria
1;Pentalinon
1;Peplonia
1;Petalostelma
1;Prestonia
1;Rhodocalyx
1;Rhabdadenia
1;Schistonema
1;Schubertia
1;Secondatia
1;Skytanthus
1;Stipecoma
1;Strophanthus
1;Temnadenia
1;Thenardia
1;Vincetoxicum
1;Vinca
1;Tylophora
1;Anthurium
1;Epipremnum
1;Heteropsis
1;Adelonema
1;Monstera
1;Philodendron
1;Rhodospatha
1;Stenospermation
1;Syngonium
1;Chamaedorea
1;Desmoncus
1;Aristolochia
1;Herreria
1;Adenophyllum
1;Aetheolaena
1;Lasiocephalus
1;Monticalia
1;Ageratina
1;Calea
1;Alloispermum
1;Antillanthus
1;Archibaccharis
1;Aristeguietia
1;Aspilia
1;Asplundianthus
1;Austrobrickellia
1;Ayapana
1;Baccharis
1;Barnadesia
1;Bartlettina
1;Berylsimpsonia
1;Bidens
1;Chromolaena
1;Clibadium
1;Condylidium
1;Condylopodium
1;Crossothamnus
1;Critonia
1;Critoniopsis
1;Cuatrecasanthus
1;Cyathomone
1;Cyrtocymura
1;Dasyphyllum
1;Dendrophorbium
1;Desmanthodium
1;Dresslerothamnus
1;Eirmocephala
1;Ekmaniopappus
1;Elaphandra
1;Ericentrodea
1;Fleischmannia
1;Gongrostylus
1;Harnackia
1;Hebeclinium
1;Herodotia
1;Heterocondylus
1;Hidalgoa
1;Viguiera
1;Ichthyothere
1;Jungia
1;Koanophyllon
1;Lasianthaea
1;Leonis
1;Lepidaploa
1;Vernonia
1;Lescaillea
1;Sinclairia
1;Llerasia
1;Lycoseris
1;Mattfeldia
1;Mikania
1;Montanoa
1;Munnozia
1;Sampera
1;Mutisia
1;Nesampelos
1;Otopappus
1;Oblivia
1;Odontocline
1;Oldfeltia
1;Oligactis
1;Ophryosporus
1;Oteiza
1;Paracalia
1;Pentacalia
1;Senecio
1;Perymenium
1;Piptocarpha
1;Piptocoma
1;Pseudogynoxys
1;Synotis
1;Quechualia
1;Salmea
1;Spilanthes
1;Santosia
1;Sphagneticola
1;Steyermarkina
1;Stifftia
1;Tilesia
1;Trepadonia
1;Trixis
1;Tuberostylis
1;Verbesina
1;Vernonanthura
1;Wedelia
1;Zemisia
1;Zexmenia
1;Anredera
1;Basella
1;Tournonia
1;Begonia
1;Adenocalymma
1;Mansoa
1;Amphilophium
1;Anemopaegma
1;Bignonia
1;Callichlamys
1;Campsis
1;Cuspidaria
1;Digomphia
1;Dolichandra
1;Eccremocarpus
1;Fridericia
1;Lundia
1;Manaosella
1;Martinella
1;Neojobertia
1;Pachyptera
1;Pandorea
1;Perianthomega
1;Pleonotoma
1;Podranea
1;Pyrostegia
1;Stizophyllum
1;Tanaecium
1;Tecoma
1;Tourrettia
1;Tynanthus
1;Xylophragma
