"","Var1","Freq"
"1","Abrus",19
"2","Abuta",31
"3","Acalypha",461
"4","Acidocroton",12
"5","Adelobotrys",33
"6","Adelphia",4
"7","Adenocalymma",90
"8","Adenophyllum",12
"9","Adenopodia",7
"10","Aegiphila",149
"11","Aenigmatanthera",2
"12","Aetheolaena",15
"13","Aganisia",4
"14","Agdestis",1
"15","Ageratina",351
"16","Aiouea",75
"17","Albuca",3
"18","Alicia",2
"19","Allamanda",15
"20","Alloispermum",16
"21","Allomarkgrafia",10
"22","Alloplectus",6
"23","Alternanthera",152
"24","Alvimiantha",1
"25","Amicia",9
"26","Amorimia",15
"27","Ampelocissus",93
"28","Ampelopsis",18
"29","Ampelozizyphus",3
"30","Amphilophium",48
"31","Amphirrhox",1
"32","Anchietea",8
"33","Ancistrothyrsus",2
"34","Ancistrotropis",7
"35","Anechites",1
"36","Anemopaegma",46
"37","Angadenia",2
"38","Aniseia",6
"39","Annona",170
"40","Anomospermum",8
"41","Anredera",12
"42","Anthodon",1
"43","Anthurium",1060
"44","Antigonon",3
"45","Antillanthus",18
"46","Aphelandra",197
"47","Apodanthera",36
"48","Apurimacia",6
"49","Araujia",14
"50","Archibaccharis",39
"51","Arcytophyllum",18
"52","Aristeguietia",19
"53","Aristolochia",519
"54","Arthrostemma",5
"55","Arthrostylidium",29
"56","Asketanthera",6
"57","Aspilia",87
"58","Asplundia",101
"59","Asplundianthus",11
"60","Astephanus",2
"61","Aster",1
"62","Athroostachys",1
"63","Atractantha",6
"64","Aulonemia",54
"65","Austrobrickellia",3
"66","Ayapana",17
"67","Baccharis",463
"68","Bahiella",2
"69","Banisteriopsis",62
"70","Barbieria",1
"71","Barnadesia",20
"72","Bartlettina",44
"73","Basella",5
"74","Basistemon",6
"75","Beaumontia",10
"76","Begonia",1896
"77","Belemia",1
"78","Benincasa",2
"79","Berchemia",40
"80","Berylsimpsonia",2
"81","Besleria",165
"82","Bia",7
"83","Biancaea",5
"84","Bidens",266
"85","Bignonia",33
"86","Bisgoeppertia",3
"87","Blakea",189
"88","Blepharodon",30
"89","Blumenbachia",10
"90","Boerhavia",55
"91","Bomarea",124
"92","Bonamia",69
"93","Borismene",1
"94","Bougainvillea",16
"95","Bredemeyera",22
"96","Bronwenia",10
"97","Brunfelsia",50
"98","Buddleja",114
"99","Burmeistera",117
"100","Byttneria",144
"101","Calceolaria",275
"102","Calea",166
"103","Callaeum",11
"104","Callichlamys",1
"105","Calopogonium",9
