Genus;Epithet;Author;Whole
Aphelandra;tomentosa;Lindau        ;Aphelandra tomentosa Lindau        
Dasytropis;fragilis;Urb.        ;Dasytropis fragilis Urb.        
Dicliptera;purpurascens;Wassh. & J.R.I.Wood      ;Dicliptera purpurascens Wassh. & J.R.I.Wood      
Justicia;adenothyrsa;(Lindau) T.F.Daniel       ;Justicia adenothyrsa (Lindau) T.F.Daniel       
Justicia;anabasa;Leonard        ;Justicia anabasa Leonard        
Justicia;brasiliana;Roth        ;Justicia brasiliana Roth        
Justicia;cydoniifolia;(Nees) Lindau       ;Justicia cydoniifolia (Nees) Lindau       
Justicia;fuchsiifolia;Leonard        ;Justicia fuchsiifolia Leonard        
Justicia;graciliflora;(Standl.) D.N.Gibson       ;Justicia graciliflora (Standl.) D.N.Gibson       
Justicia;kirkbridei;Wassh.        ;Justicia kirkbridei Wassh.        
Justicia;megalantha;Wassh. & J.R.I.Wood      ;Justicia megalantha Wassh. & J.R.I.Wood      
Justicia;monopleurantha;(Lindau) Wassh.       ;Justicia monopleurantha (Lindau) Wassh.       
Justicia;nicaraguensis;Durkee        ;Justicia nicaraguensis Durkee        
Justicia;pyrrhostachya;(Lindau) Wassh.       ;Justicia pyrrhostachya (Lindau) Wassh.       
Justicia;sarapiquensis;McDade        ;Justicia sarapiquensis McDade        
Justicia;scansilis;(Rizzini) V.A.W.Graham       ;Justicia scansilis (Rizzini) V.A.W.Graham       
Justicia;sphaerosperma;Vahl        ;Justicia sphaerosperma Vahl        
Justicia;spicigera;Schltdl.        ;Justicia spicigera Schltdl.        
Mendoncia;albiflora;Leonard        ;Mendoncia albiflora Leonard        
Mendoncia;antioquiensis;Wassh.        ;Mendoncia antioquiensis Wassh.        
Mendoncia;aspera;(Ruiz & Pav.) Nees     ;Mendoncia aspera (Ruiz & Pav.) Nees     
Mendoncia;aurea;Leonard        ;Mendoncia aurea Leonard        
Mendoncia;bahiensis;Profice        ;Mendoncia bahiensis Profice        
Mendoncia;bivalvis;(L.f.) Merr.       ;Mendoncia bivalvis (L.f.) Merr.       
Mendoncia;blanchetiana;Profice        ;Mendoncia blanchetiana Profice        
Mendoncia;brenesii;Standl. & Leonard      ;Mendoncia brenesii Standl. & Leonard      
Mendoncia;caquetensis;Leonard        ;Mendoncia caquetensis Leonard        
Mendoncia;cardonae;Leonard        ;Mendoncia cardonae Leonard        
Mendoncia;coccinea;Vell.        ;Mendoncia coccinea Vell.        
Mendoncia;cordata;Leonard        ;Mendoncia cordata Leonard        
Mendoncia;coriacea;Wassh.        ;Mendoncia coriacea Wassh.        
Mendoncia;costaricana;Oerst.        ;Mendoncia costaricana Oerst.        
Mendoncia;crenata;Lindau        ;Mendoncia crenata Lindau        
Mendoncia;cuatrecasasii;Leonard        ;Mendoncia cuatrecasasii Leonard        
Mendoncia;garciae;Leonard        ;Mendoncia garciae Leonard        
Mendoncia;gigas;Lindau        ;Mendoncia gigas Lindau        
Mendoncia;gilva;Leonard        ;Mendoncia gilva Leonard        
