"","taxa","diversity","node","age_mean","clade","CM"
"21","Anthodon",1,"SG",10.56,"Superrosids","5"
"25","Attilaea",1,"SG",12.953,"Superrosids","3"
"26","Bia",5,"SG",135.912,"Superrosids","1"
"45","Cochliasanthus",1,"SG",7.63499999999999,"Superrosids","1"
"50","Cucurbitella",1,"SG",9.61500000000001,"Superrosids","2"
"52","Cymbosema",1,"SG",6.08699999999999,"Superrosids","1"
"62","Doyerea",1,"SG",7.72300000000001,"Superrosids","2"
"65","Ectopopterys",1,"SG",13.698,"Superrosids","1"
"79","Heladena",1,"SG",8.79000000000002,"Superrosids","1"
"81","Henleophytum",1,"SG",8.79000000000002,"Superrosids","1"
"88","Hybanthopsis",1,"SG",20.841,"Superrosids","1"
"93","Lablab",1,"SG",14.062,"Superrosids","1"
"96","Linnaeosicyos",1,"SG",17.869,"Superrosids","2"
"111","Neorudolphia",1,"SG",4.637,"Superrosids","1"
"112","Neustanthus",1,"SG",8.56299999999999,"Superrosids","1"
"136","Polyclathra",1,"SG",10.923,"Superrosids","2"
"138","Prionostemma",1,"SG",10.099,"Superrosids","5"
"143","Reissekia",1,"SG",18.315,"Superrosids","2"
"145","Rhodopis",1,"SG",4.637,"Superrosids","1"
"146","Romanoa",1,"SG",16.59,"Superrosids","1"
