"","taxa","diversity","node","age_mean","clade","CM"
"11","Agdestis",1,"SG",52.008,"Superasterids","1"
"31","Brunnichia",1,"SG",14.335,"Superasterids","1"
"66","Ekmaniopappus",1,"SG",2.76100000000002,"Superasterids","3"
"68","Emmeorhiza",1,"SG",5.005,"Superasterids","1"
"70","Exarata",1,"SG",4.08199999999999,"Superasterids","4"
"75","Fuertesia",1,"SG",17.259,"Superasterids","6"
"82","Herodotia",1,"SG",2.98400000000004,"Superasterids","3"
"86","Hewittia",1,"SG",5.14100000000002,"Superasterids","1"
"89","Itzaea",1,"SG",12.704,"Superasterids","1"
"95","Leretia",1,"SG",4.42900000000003,"Superasterids","1"
"100","Manaosella",1,"SG",13.325,"Superasterids","2"
"104","Mattfeldia",1,"SG",2.72800000000001,"Superasterids","1"
"110","Neomortonia",1,"SG",3.53899999999999,"Superasterids","4"
"114","Norantea",1,"SG",3.09700000000004,"Superasterids","3"
"118","Oldfeltia",1,"SG",2.09800000000001,"Superasterids","3"
"122","Pagothyra",1,"SG",6.16000000000003,"Superasterids","4"
"126","Perianthomega",1,"SG",17.678,"Superasterids","6"
"128","Perymeniopsis",1,"SG",2.55599999999998,"Superasterids","3"
"131","Pinzona",1,"SG",15.919,"Superasterids","1"
"135","Plowmania",1,"SG",31.503,"Superasterids","3"
"165","Stipecoma",1,"SG",7.85200000000003,"Superasterids","1"
"171","Tourrettia",1,"SG",23.615,"Superasterids","2"
