"","Var1","Freq"
"1","Abrus",3
"2","Abuta",29
"3","Acalypha",3
"4","Acidocroton",1
"5","Adelobotrys",11
"6","Adelonema",1
"7","Adelphia",4
"8","Adenocalymma",73
"9","Adenophyllum",1
"10","Adenopodia",3
"11","Aegiphila",41
"12","Aenigmatanthera",2
"13","Aetheolaena",9
"14","Aganisia",2
"15","Agdestis",1
"16","Ageratina",2
"17","Aiouea",2
"18","Alicia",2
"19","Allamanda",5
"20","Alloispermum",2
"21","Allomarkgrafia",8
"22","Alloplectus",3
"23","Alternanthera",2
"24","Alvimiantha",1
"25","Amicia",1
"26","Amorimia",8
"27","Ampelocissus",4
"28","Ampelopsis",1
"29","Ampelozizyphus",1
"30","Amphilophium",43
"31","Amphirrhox",1
"32","Anchietea",4
"33","Ancistrothyrsus",2
"34","Ancistrotropis",5
"35","Anechites",1
"36","Anemopaegma",41
"37","Angadenia",2
"38","Anisacanthus",1
"39","Aniseia",4
"40","Annona",7
"41","Anomospermum",8
"42","Anredera",11
"43","Anthodon",1
"44","Anthurium",88
"45","Antigonon",2
"46","Antillanthus",10
"47","Aphelandra",1
"48","Apodanthera",26
"49","Apurimacia",1
"50","Araujia",11
"51","Archibaccharis",5
"52","Arcytophyllum",1
"53","Aristeguietia",1
"54","Aristolochia",171
"55","Arthrostemma",1
"56","Arthrostylidium",19
"57","Asemeia",2
"58","Asketanthera",5
"59","Aspilia",1
"60","Asplundia",44
"61","Asplundianthus",3
"62","Athroostachys",1
"63","Atractantha",1
"64","Aulonemia",12
"65","Austrobrickellia",1
"66","Austrocylindropuntia",1
"67","Ayapana",1
"68","Baccharis",16
"69","Bahiella",2
"70","Banisteriopsis",42
"71","Barbieria",1
"72","Barnadesia",1
"73","Bartlettina",2
"74","Basella",1
"75","Basistemon",1
"76","Beaumontia",1
"77","Begonia",28
"78","Benincasa",1
"79","Berchemia",1
"80","Berylsimpsonia",1
"81","Besleria",1
"82","Bia",6
"83","Bidens",6
"84","Bignonia",29
"85","Bisgoeppertia",3
"86","Blakea",39
"87","Blepharodon",23
"88","Blumenbachia",2
"89","Bomarea",67
"90","Bonamia",18
"91","Borismene",1
"92","Bougainvillea",4
"93","Bredemeyera",9
"94","Bronwenia",9
"95","Brunnichia",1
"96","Buddleja",2
"97","Burmeistera",13
"98","Byttneria",38
"99","Cajophora",17
"100","Calceolaria",10
"101","Calea",6
"102","Callaeum",7
"103","Callichlamys",1
"104","Calopogonium",8
"105","Calycobolus",4
"106","Calycophysum",3
"107","Calyptrion",3
"108","Calystegia",3
"109","Camonea",1
"110","Campsis",2
"111","Camptosema",9
"112","Canavalia",39
"113","Capparis",2
"114","Cardiospermum",6
"115","Carolus",5
"116","Caryomene",5
"117","Casearia",1
"118","Casimirella",2
"119","Cavendishia",12
"120","Cayaponia",62
"121","Celastrus",6
"122","Celosia",1
"123","Celtis",2
"124","Centropogon",21
"125","Centrosema",38
"126","Ceratosanthes",5
"127","Cereus",3
"128","Cestrum",3
"129","Chaetocalyx",11
"130","Chamaecrista",2
"131","Chamaedorea",1
"132","Chamissoa",2
"133","Cheiloclinium",11
"134","Chiococca",4
"135","Chomelia",3
"136","Chondrodendron",2
"137","Chorisepalum",1
"138","Christianella",5
"139","Chromolaena",5
"140","Chrysothemis",2
"141","Chusquea",38
"142","Cionosicyos",2
"143","Cissampelos",11
"144","Cissus",74
"145","Citharexylum",1
"146","Citrullus",1
"147","Cleistocactus",2
"148","Clematicissus",5
"149","Clematis",18
"150","Cleobulia",2
"151","Cleome",1
"152","Clerodendrum",2
"153","Clibadium",1
"154","Clidemia",10
"155","Clitoria",25
"156","Clusia",12
"157","Clusiella",3
"158","Cnestidium",2
"159","Cobaea",17
"160","Coccinia",1
"161","Coccoloba",10
"162","Cocculus",2
"163","Codonanthopsis",3
"164","Colanthelia",3
"165","Colignonia",6
"166","Collaea",1
"167","Cologania",2
"168","Columnea",39
"169","Combretum",28
"170","Commelina",1
"171","Commicarpus",4
"172","Condea",1
"173","Condylidium",1
"174","Condylocarpon",7
"175","Condylopodium",3
"176","Condylostylis",3
"177","Congea",2
"178","Connarus",34
"179","Convolvulus",7
"180","Coriaria",1
"181","Corryocactus",5
"182","Cottsia",1
"183","Coussapoa",4
"184","Crantzia",1
"185","Cratylia",5
"186","Cressa",1
"187","Critonia",5
"188","Critoniopsis",1
"189","Crossothamnus",1
"190","Croton",5
"191","Cryptocarpus",1
"192","Cryptostegia",2
"193","Cuatrecasanthus",1
"194","Cucumis",5
"195","Cucurbita",10
"196","Cucurbitella",1
"197","Cuervea",5
"198","Cupania",1
"199","Cuphea",1
"200","Curarea",5
"201","Cuspidaria",18
"202","Cyathomone",1
"203","Cyclanthera",27
"204","Cymbosema",1
"205","Cynanchum",51
"206","Cynophalla",4
"207","Cyrtocymura",1
"208","Dalbergia",21
"209","Dalechampia",81
"210","Dasyphyllum",6
"211","Dasytropis",1
"212","Daustinia",1
"213","Davilla",23
"214","Deguelia",8
"215","Demosthenesia",2
"216","Dendrophorbium",2
"217","Denscantia",4
"218","Desmanthodium",1
"219","Desmodium",16
"220","Desmoncus",19
"221","Dicella",7
"222","Dichapetalum",7
"223","Dichorisandra",5
"224","Diclidanthera",1
"225","Dicliptera",1
"226","Dicranopygium",1
"227","Dicranostyles",14
"228","Dictyanthus",14
"229","Digomphia",1
"230","Dilkea",3
"231","Dioclea",51
"232","Diogenesia",1
"233","Dioscorea",257
"234","Diplolepis",1
"235","Diplopterys",31
"236","Dipogon",1
"237","Disciphania",26
"238","Disocactus",1
"239","Disterigma",15
"240","Distimake",14
"241","Ditassa",95
"242","Dolichandra",8
"243","Dolichopsis",3
"244","Doliocarpus",48
"245","Doyerea",1
"246","Dresslerothamnus",2
"247","Drymonia",33
"248","Dulacia",1
"249","Dyssochroma",1
"250","Eccremocarpus",2
"251","Echinopepon",3
"252","Echinopsis",13
"253","Echinopterys",1
"254","Echites",10
"255","Ectopopterys",1
